row_label_raw,row_label_full,col_0,31/12/2016VND,1/1/2016VND,numeric__31/12/2016VND,numeric__1/1/2016VND
Bất động sản đầu tư cho thuê (*),Bất động sản đầu tư cho thuê (*),Bất động sản đầu tư cho thuê (*),95.127.962.988,113.742.145.981,95127962988.0,113742145981.0
(*) Bất động sản đầu tư cho thuê,(*) Bất động sản đầu tư cho thuê,(*) Bất động sản đầu tư cho thuê,,Nhà cửaVND,,
Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,,125.194.567.118,,125194567118.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,,709.302.727,,709302727.0
Chuyển sang hàng tồn kho,Nguyên giá > Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,,(18.427.712.728),,-18427712728.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,,107.476.157.117,,107476157117.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,,11.452.421.137,,11452421137.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,,2.779.647.457,,2779647457.0
Chuyển sang hàng tồn kho,Giá trị hao mòn lũy kế > Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,,(1.883.874.465),,-1883874465.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,,12.348.194.129,,12348194129.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,,113.742.145.981,,113742145981.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,,95.127.962.988,,95127962988.0
