row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận tải VND,Thiết bị văn phòng VND,Tài sản cố định khác VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị văn phòng VND,numeric__Tài sản cố định khác VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,7.993.003.518.354,4.034.496.257.279,56.587.571.297,35.969.655.483,253.880.507,12.120.310.882.920,7993003518354.0,4034496257279.0,56587571297.0,35969655483.0,253880507.0,12120310882920.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,2.843.000.000,20.271.791.091,1.802.230.676,1.616.427.400,-,26.533.449.167,2843000000.0,20271791091.0,1802230676.0,1616427400.0,,26533449167.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,4.612.680.584,790.939.570,-,-,-,5.403.620.154,4612680584.0,790939570.0,,,,5403620154.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,(3.253.642.611),-,-,(3.253.642.611),,,-3253642611.0,,,-3253642611.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,8.000.459.198.938,4.055.558.987.940,55.136.159.362,37.586.082.883,253.880.507,12.148.994.309.630,8000459198938.0,4055558987940.0,55136159362.0,37586082883.0,253880507.0,12148994309630.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,3.964.619.968.713,3.756.855.760.019,38.612.630.911,29.516.769.930,253.880.507,7.789.859.010.080,3964619968713.0,3756855760019.0,38612630911.0,29516769930.0,253880507.0,7789859010080.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,215.789.472.119,118.841.744.975,3.268.619.408,3.414.839.967,-,341.314.676.469,215789472119.0,118841744975.0,3268619408.0,3414839967.0,,341314676469.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,(3.060.625.079),-,-,(3.060.625.079),,,-3060625079.0,,,-3060625079.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,4.180.409.440.832,3.875.697.504.994,38.820.625.240,32.931.609.897,253.880.507,8.128.113.061.470,4180409440832.0,3875697504994.0,38820625240.0,32931609897.0,253880507.0,8128113061470.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,4.028.383.549.641,277.640.497.260,17.974.940.386,6.452.885.553,-,4.330.451.872.840,4028383549641.0,277640497260.0,17974940386.0,6452885553.0,,4330451872840.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.820.049.758.106,179.861.482.946,16.315.534.122,4.654.472.986,-,4.020.881.248.160,3820049758106.0,179861482946.0,16315534122.0,4654472986.0,,4020881248160.0
