row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Tại ngày 31 tháng 12 năm > 2019 VND,Tại ngày 31 tháng 12 năm > 2018 VND (Trình bày lại),numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Tại ngày 31 tháng 12 năm > 2019 VND,numeric__Tại ngày 31 tháng 12 năm > 2018 VND (Trình bày lại)
300,300,300,NỘ PHẢI TRẢ,,65.518.168.766.672,49.152.327.254.974,,,65518168766672.0,49152327254974.0
310,310,310,Nợ ngắn hạn,,18.809.633.988.008,27.995.143.422.573,,,18809633988008.0,27995143422573.0
311,311,311,Phải trả người bán ngắn hạn,18,2.544.601.659.105,2.518.136.677.507,,18.0,2544601659105.0,2518136677507.0
312,312,312,Người mua trả tiền trước ngắn hạn,19,1.254.023.590.387,7.779.944.907.345,,19.0,1254023590387.0,7779944907345.0
313,313,313,Thuế và các khoản phải nộp Nhà nước,20(b),205.713.049.755,558.242.968.117,,,205713049755.0,558242968117.0
314,314,314,Phải trả người lao động,21,31.296.329.923,33.168.157.749,,21.0,31296329923.0,33168157749.0
315,315,315,Chi phí phải trả ngắn hạn,22,2.697.796.706.234,2.709.797.403.785,,22.0,2697796706234.0,2709797403785.0
318,318,318,Doanh thu chưa thực hiện ngắn hạn,,1.677.668.051,1.457.601.871,,,1677668051.0,1457601871.0
319,319,319,Phải trả ngắn hạn khác,23(a),3.624.338.062.834,2.743.454.064.729,,,3624338062834.0,2743454064729.0
320,320,320,Vay và nợ thuê tài chính ngắn hạn,24(a),8.444.638.010.326,11.645.389.730.077,,,8444638010326.0,11645389730077.0
322,322,322,"Quỹ khen thưởng, phúc lợi",,5.548.911.393,5.551.911.393,,,5548911393.0,5551911393.0
330,330,330,Nợ dài hạn,,46.708.534.778.664,21.157.183.832.401,,,46708534778664.0,21157183832401.0
336,336,336,Doanh thu chưa thực hiện dài hạn,,18.307.529.783,27.058.815.648,,,18307529783.0,27058815648.0
337,337,337,Phải trả dài hạn khác,23(b),14.133.031.990.444,2.568.591.870.100,,,14133031990444.0,2568591870100.0
338,338,338,Vay và nợ thuê tài chính dài hạn,24(b),26.145.644.448.493,16.262.686.196.964,,,26145644448493.0,16262686196964.0
341,341,341,Thuế thu nhập hoãn lại phải trả,38(a),6.255.537.958.898,2.298.846.949.689,,,6255537958898.0,2298846949689.0
342,342,342,Dự phòng phải trả dài hạn,25,156.012.851.046,-,,25.0,156012851046.0,
400,400,400,VỐN CHỦ SỞ HỮU,,24.461.073.831.847,19.969.799.690.207,,,24461073831847.0,19969799690207.0
410,410,410,Vốn chủ sở hữu,,24.461.073.831.847,19.969.799.690.207,,,24461073831847.0,19969799690207.0
411,411,411,Vốn góp của chủ sở hữu,"26, 27",9.695.407.970.000,9.372.766.740.000,,,9695407970000.0,9372766740000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,9.695.407.970.000,9.304.466.740.000,,,9695407970000.0,9304466740000.0
411b,411b,411b,- Cổ phiếu ưu đãi,,-,68.300.000.000,,,,68300000000.0
412,412,412,Thặng dư vốn cổ phần,27,3.860.189.781.026,3.996.839.781.026,,27.0,3860189781026.0,3996839781026.0
421,421,421,"Lợi nhuận sau thuế (""LNST"") chưa phân phối",27,8.722.828.720.589,5.618.698.169.829,,27.0,8722828720589.0,5618698169829.0
421a,421a,421a,- LNST chưa phân phối lũy kế của các năm trước,,5.618.698.169.829,2.388.813.626.710,,,5618698169829.0,2388813626710.0
421b,421b,421b,- LNST chưa phân phối năm nay,,3.104.130.550.760,3.229.884.543.119,,,3104130550760.0,3229884543119.0
429,429,429,Lợi ích cổ đông không kiểm soát,27,2.182.647.360.232,981.494.999.352,,27.0,2182647360232.0,981494999352.0
440,440,440,TỔNG NGUỒN VỐN,,89.979.242.598.519,69.122.126.945.181,,,89979242598519.0,69122126945181.0
