row_label_raw,row_label_full,Mã số,col_1,Thuyết minh,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2019 VND,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2018 VND (Trình bày lại),numeric__col_1,numeric__Thuyết minh,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2019 VND,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2018 VND (Trình bày lại)
01,01,01,Doanh thu bán hàng và cung cấp dịch vụ,,11.026.232.997.553,15.635.304.112.693,,,11026232997553.0,15635304112693.0
02,02,02,Các khoản giảm trừ doanh thu,,(95.249.885.633),(345.027.380.300),,,-95249885633.0,-345027380300.0
10,10,10,Doanh thu thuần về bán hàng và cung cấp dịch vụ,30,10.930.983.111.920,15.290.276.732.393,,30.0,10930983111920.0,15290276732393.0
11,11,11,Giá vốn hàng bán dịch vụ cung cấp,31,(7.779.325.178.076),(10.132.300.385.714),,31.0,-7779325178076.0,-10132300385714.0
20,20,20,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,3.151.657.933.844,5.157.976.346.679,,,3151657933844.0,5157976346679.0
21,21,21,Doanh thu hoạt động tài chính,32,1.027.208.421.374,1.296.606.693.933,,32.0,1027208421374.0,1296606693933.0
22,22,22,Chi phí tài chính,33,(2.084.814.480.224),(1.932.436.059.562),,33.0,-2084814480224.0,-1932436059562.0
23,23,23,- Trong đó: Chi phí lãi vay,33,(1.145.609.766.192),(1.383.337.897.930),,33.0,-1145609766192.0,-1383337897930.0
24,24,24,Phần (lỗ)/lãi trong công ty liên kết,34,(9.578.783.868),1.318.760.717.206,,34.0,-9578783868.0,1318760717206.0
25,25,25,Chi phí bán hàng,35,(294.869.082.499),(424.217.309.126),,35.0,-294869082499.0,-424217309126.0
26,26,26,Chi phí quản lý doanh nghiệp,36,(1.197.219.171.605),(727.814.339.948),,36.0,-1197219171605.0,-727814339948.0
30,30,30,Lợi nhuận thuần từ hoạt động kinh doanh,,592.384.837.022,4.688.876.049.182,,,592384837022.0,4688876049182.0
31,31,31,Thu nhập khác,,3.847.134.745.198,71.219.801.005,,,3847134745198.0,71219801005.0
32,32,32,Chi phí khác,,(167.283.905.748),(74.481.539.950),,,-167283905748.0,-74481539950.0
40,40,40,Lợi nhuận/(lỗ) khác,37,3.679.850.839.450,(3.261.738.945),,37.0,3679850839450.0,-3261738945.0
50,50,50,Tổng lợi nhuận kế toán trước thuế,,4.272.235.676.472,4.685.614.310.237,,,4272235676472.0,4685614310237.0
51,51,51,"Chi phí thuế thu nhập doanh nghiệp (""TNDN"") hiện hành",38(b),(692.528.132.718),(986.171.527.219),,,-692528132718.0,-986171527219.0
52,52,52,Chi phí thuế TNDN hoãn lại,38(a),(192.385.441.843),(420.493.495.532),,,-192385441843.0,-420493495532.0
60,60,60,Lợi nhuận sau thuế TNDN,,3.387.322.101.911,3.278.949.287.486,,,3387322101911.0,3278949287486.0
,,,Phân bổ cho:,,,,,,,
61,61,61,Lợi nhuận sau thuế của Công ty,,3.431.331.162.442,3.238.878.304.013,,,3431331162442.0,3238878304013.0
62,62,62,(Lỗ)/lợi nhuận sau thuế của các Cổ đông không kiểm soát,,(44.009.060.531),40.070.983.473,,,-44009060531.0,40070983473.0
70,70,70,Lãi cơ bản trên cổ phiếu,28(a),,,,,,
71,71,71,Lãi suy giảm trên cổ phiếu,28(b),,,,,,
Nguyễn Ngọc Băng Người lập,Nguyễn Ngọc Băng Người lập,Nguyễn Ngọc Băng Người lập,Nguyễn Ngọc Băng Người lập,Trần Thị Thanh Vân Kế toán trưởng,Trần Thị Thanh Vân Kế toán trưởng,,,,,
