row_label_raw,row_label_full,col_0,col_1,Tại ngày1.1.2019VND(Trình bày lại),Số (phải thu)/phảinộp trong nămVND,Số đã thực nộptrong nămVND,Cán trừtrong nămVND,Tại ngày31.12.2019VND,numeric__col_1,numeric__Tại ngày1.1.2019VND(Trình bày lại),numeric__Số (phải thu)/phảinộp trong nămVND,numeric__Số đã thực nộptrong nămVND,numeric__Cán trừtrong nămVND,numeric__Tại ngày31.12.2019VND
(a),(a),(a),Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,,,
(a),(a) > (a),(a),Thuế GTGT được khấu trừ,(705.713.717.315),(600.909.939.940),-,327.697.480.721,(978.926.176.534),,-705713717315.0,-600909939940.0,,327697480721.0,-978926176534.0
(a),(a) > (a),(a),Thuế TNDN tạm nộp,(76.162.454.487),-,(24.088.159.733),77.185.565.871,(23.065.048.349),,-76162454487.0,,-24088159733.0,77185565871.0,-23065048349.0
(a),(a) > (a),(a),Thuế TNDN (nộp thừa),(8.893.236.939),(2.543.725.911),(229.777.442),986.547.515,(10.680.192.777),,-8893236939.0,-2543725911.0,-229777442.0,986547515.0,-10680192777.0
(a),(a) > (a),(a),Thuế khác,(1.072.033.826),(73.302.990.075),(73.137.843),67.289.095,(74.380.872.649),,-1072033826.0,-73302990075.0,-73137843.0,67289095.0,-74380872649.0
(a),(a) > (a),(a),,(791.841.442.567),(676.756.655.926),(24.391.075.018),405.936.883.202,(1.087.052.290.309),,-791841442567.0,-676756655926.0,-24391075018.0,405936883202.0,-1087052290309.0
(b),(b),(b),Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,,,
(b),(b) > (b),(b),Tiền sử dụng đất,-,116.096.032.968,(116.096.032.968),-,-,,,116096032968.0,-116096032968.0,,
(b),(b) > (b),(b),Thuế TNDN,510.495.602.928,692.893.634.740,(946.929.843.769),(78.172.113.386),178.287.280.513,,510495602928.0,692893634740.0,-946929843769.0,-78172113386.0,178287280513.0
(b),(b) > (b),(b),Thuế GTGT hàng bán nội địa,21.120.586.488,495.887.371.472,(182.571.268.781),(327.697.480.721),6.739.208.458,,21120586488.0,495887371472.0,-182571268781.0,-327697480721.0,6739208458.0
(b),(b) > (b),(b),Thuế thu nhập cá nhân,13.932.100.758,84.321.731.061,(96.361.715.257),(67.289.095),1.824.827.467,,13932100758.0,84321731061.0,-96361715257.0,-67289095.0,1824827467.0
(b),(b) > (b),(b),Thuế khác,12.694.677.943,123.492.805.103,(117.325.749.729),-,18.861.733.317,,12694677943.0,123492805103.0,-117325749729.0,,18861733317.0
(b),(b) > (b),(b),,558.242.968.117,1.512.691.575.344,(1.459.284.610.504),(405.936.883.202),205.713.049.755,,558242968117.0,1512691575344.0,-1459284610504.0,-405936883202.0,205713049755.0
