row_label_raw,row_label_full,Mã số,col_1,Năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > Đã được trình bày trước đây VND,Năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > Điều chỉnh lại VND,Năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > Trình bày lại VND,numeric__col_1,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > Đã được trình bày trước đây VND,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > Điều chỉnh lại VND,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > Trình bày lại VND
01,01,01,Doanh thu bán hàng và cung cấp dịch vụ,15.635.421.288.785,(117.176.092),15.635.304.112.693,,15635421288785.0,-117176092.0,15635304112693.0
10,10,10,Doanh thu thuần về bán hàng và cung cấp dịch vụ,15.290.393.908.485,(117.176.092),15.290.276.732.393,,15290393908485.0,-117176092.0,15290276732393.0
11,11,11,Giá vốn hàng bán,(10.132.440.436.138),140.050.424,(10.132.300.385.714),,-10132440436138.0,140050424.0,-10132300385714.0
20,20,20,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5.157.953.472.347,22.874.332,5.157.976.346.679,,5157953472347.0,22874332.0,5157976346679.0
21,21,21,Doanh thu hoạt động tài chính,1.296.684.713.154,(78.019.221),1.296.606.693.933,,1296684713154.0,-78019221.0,1296606693933.0
22,22,22,Chi phí tài chính,(1.930.195.994.193),(2.240.065.369),(1.932.436.059.562),,-1930195994193.0,-2240065369.0,-1932436059562.0
23,23,23,- Trong đó: Chi phí lãi vay,(1.381.414.621.001),(1.923.276.929),(1.383.337.897.930),,-1381414621001.0,-1923276929.0,-1383337897930.0
24,24,24,Phần lãi trong công ty liên kết,1.322.274.553.324,(3.513.836.118),1.318.760.717.206,,1322274553324.0,-3513836118.0,1318760717206.0
26,26,26,Chi phí quản lý doanh nghiệp,(743.726.773.586),15.912.433.638,(727.814.339.948),,-743726773586.0,15912433638.0,-727814339948.0
30,30,30,Lợi nhuận thuần từ hoạt động kinh doanh,4.678.772.661.920,10.103.387.262,4.688.876.049.182,,4678772661920.0,10103387262.0,4688876049182.0
31,31,31,Thu nhập khác,71.083.646.568,136.154.437,71.219.801.005,,71083646568.0,136154437.0,71219801005.0
40,40,40,Lỗ khác,(3.397.893.382),136.154.437,(3.261.738.945),,-3397893382.0,136154437.0,-3261738945.0
50,50,50,Tổng lợi nhuận kế toán trước thuế,4.675.374.768.538,10.239.541.699,4.685.614.310.237,,4675374768538.0,10239541699.0,4685614310237.0
52,52,52,Chi phí thuế TNDN hoãn lại,(422.133.052.602),1.639.557.070,(420.493.495.532),,-422133052602.0,1639557070.0,-420493495532.0
60,60,60,Lợi nhuận sau thuế TNDN,3.267.070.188.717,11.879.098.769,3.278.949.287.486,,3267070188717.0,11879098769.0,3278949287486.0
61,61,61,Phân bổ cho:Lợi nhuận sau thuế của Công ty mẹ,3.227.004.714.155,11.873.589.858,3.238.878.304.013,,3227004714155.0,11873589858.0,3238878304013.0
62,62,62,Lợi nhuận sau thuế của các cổ đông không kiểm soát,40.065.474.562,5.508.911,40.070.983.473,,40065474562.0,5508911.0,40070983473.0
70,70,70,Lãi cơ bản trên cổ phiếu,3.533,13,3.546,,3533.0,13.0,3546.0
71,71,71,Lãi suy giảm trên cổ phiếu,3.389,12,3.401,,3389.0,12.0,3401.0
