row_label_raw,row_label_full,col_0,31.12.2019 > Giá trị VND,31.12.2019 > Dự phòng VND,31.12.2018 > Giá trị VND (Trình bày lại),31.12.2018 > Dự phòng VND (Trình bày lại),numeric__31.12.2019 > Giá trị VND,numeric__31.12.2019 > Dự phòng VND,numeric__31.12.2018 > Giá trị VND (Trình bày lại),numeric__31.12.2018 > Dự phòng VND (Trình bày lại)
"Đặt cọc nhận chuyển nhượng đất, dự án","Đặt cọc nhận chuyển nhượng đất, dự án","Đặt cọc nhận chuyển nhượng đất, dự án",1.276.727.461.500,-,-,-,1276727461500.0,,,
"Đặt cọc mua cổ phần, nhận chuyển nhượng vốn góp (*)","Đặt cọc mua cổ phần, nhận chuyển nhượng vốn góp (*)","Đặt cọc mua cổ phần, nhận chuyển nhượng vốn góp (*)",475.200.461.660,-,702.640.000.000,-,475200461660.0,,702640000000.0,
Phải thu liên quan đến Sài Gòn Gôn (**),Phải thu liên quan đến Sài Gòn Gôn (**),Phải thu liên quan đến Sài Gòn Gôn (**),388.560.000.000,-,1.034.004.132.075,-,388560000000.0,,1034004132075.0,
Tạm ứng cho các dự án,Tạm ứng cho các dự án,Tạm ứng cho các dự án,379.741.687.575,-,342.471.627.467,-,379741687575.0,,342471627467.0,
"Đặt cọc, ký quỹ dự án","Đặt cọc, ký quỹ dự án","Đặt cọc, ký quỹ dự án",98.839.134.192,-,106.874.918.392,-,98839134192.0,,106874918392.0,
Phát triển và hợp tác đầu tư dự án (***),Phát triển và hợp tác đầu tư dự án (***),Phát triển và hợp tác đầu tư dự án (***),53.219.000.000,-,53.219.000.000,-,53219000000.0,,53219000000.0,
"Phải thu lãi tiền gửi, lãi cho vay và hợp tác đầu tư","Phải thu lãi tiền gửi, lãi cho vay và hợp tác đầu tư","Phải thu lãi tiền gửi, lãi cho vay và hợp tác đầu tư",103.019.159.618,-,85.134.153.924,-,103019159618.0,,85134153924.0,
Đặt cọc cho hợp đồng dịch vụ tư vấn đầu tư,Đặt cọc cho hợp đồng dịch vụ tư vấn đầu tư,Đặt cọc cho hợp đồng dịch vụ tư vấn đầu tư,-,-,273.253.992.251,-,,,273253992251.0,
Phải thu khác,Phải thu khác,Phải thu khác,449.694.492.900,-,421.059.522.442,-,449694492900.0,,421059522442.0,
,,,3.225.001.397.445,-,3.018.657.346.551,-,3225001397445.0,,3018657346551.0,
