row_label_raw,row_label_full,col_0,31.12.2019 > Giá gốc VND,31.12.2019 > Giá trị hợp lý VND,31.12.2019 > Dự phòng,31.12.2019,31.12.2018 > Giá gốc VND(Trình bày lại),31.12.2018 > Giá trị hợp lý VND(Trình bày lại),31.12.2018 > Dự phòng(Trình bày lại),31.12.2018,numeric__31.12.2019 > Giá gốc VND,numeric__31.12.2019 > Giá trị hợp lý VND,numeric__31.12.2019 > Dự phòng,numeric__31.12.2019,numeric__31.12.2018 > Giá gốc VND(Trình bày lại),numeric__31.12.2018 > Giá trị hợp lý VND(Trình bày lại),numeric__31.12.2018 > Dự phòng(Trình bày lại),numeric__31.12.2018
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,5.694.610.841.185,(*),-,,7.694.964.022.477,(*),-,,5694610841185.0,,,,7694964022477.0,,,
Chi tiết đầu tư góp vốn vào công ty liên kết như sau:,Chi tiết đầu tư góp vốn vào công ty liên kết như sau:,Chi tiết đầu tư góp vốn vào công ty liên kết như sau:,Chi tiết đầu tư góp vốn vào công ty liên kết như sau:,Chi tiết đầu tư góp vốn vào công ty liên kết như sau:,Chi tiết đầu tư góp vốn vào công ty liên kết như sau:,Chi tiết đầu tư góp vốn vào công ty liên kết như sau:,Chi tiết đầu tư góp vốn vào công ty liên kết như sau:,Chi tiết đầu tư góp vốn vào công ty liên kết như sau:,Chi tiết đầu tư góp vốn vào công ty liên kết như sau:,Chi tiết đầu tư góp vốn vào công ty liên kết như sau:,,,,,,,,
Tên công ty,Chi tiết đầu tư góp vốn vào công ty liên kết như sau: > Tên công ty,Tên công ty,Hoạt động chính,31.12.2019,31.12.2019,31.12.2019,31.12.2018,31.12.2018,31.12.2018,31.12.2018,,31122019.0,31122019.0,31122019.0,31122018.0,31122018.0,31122018.0,31122018.0
Tên công ty,Tên công ty,Tên công ty,Hoạt động chính,Giá trị ghi sở VND,Giá trị hợp lý VND,Dự phòng VND,Giá trị ghi sở VND(Trình bày lại),Giá trị hợp lý VND(Trình bày lại),Dự phòng VND(Trình bày lại),,,,,,,,,
Công ty Cổ phần Thạnh Mỹ Lợi,Tên công ty > Công ty Cổ phần Thạnh Mỹ Lợi,Công ty Cổ phần Thạnh Mỹ Lợi,Kinh doanh bất động sản,5.438.402.881.107,(*),-,5.440.688.978.371,(*),-,,,5438402881107.0,,,5440688978371.0,,,
Công ty Cổ phần Đầu tư Nova SQN (**),Tên công ty > Công ty Cổ phần Đầu tư Nova SQN (**),Công ty Cổ phần Đầu tư Nova SQN (**),Kinh doanh bất động sản,33.678.225.627,(*),-,-,-,-,,,33678225627.0,,,,,,
Công ty Cổ phần Phát triển Nhà Bến Thành,Tên công ty > Công ty Cổ phần Phát triển Nhà Bến Thành,Công ty Cổ phần Phát triển Nhà Bến Thành,Kinh doanh bất động sản,71.625.904.472,(*),-,68.903.452.997,(*),-,,,71625904472.0,,,68903452997.0,,,
Công ty Cổ phần 234 Thạnh Mỹ Lợi,Tên công ty > Công ty Cổ phần 234 Thạnh Mỹ Lợi,Công ty Cổ phần 234 Thạnh Mỹ Lợi,Kinh doanh bất động sản,-,-,-,9.455.467.548,(*),-,,,,,,9455467548.0,,,
Công ty Cổ phần Điện tử và Dịch vụ Công nghiệp Sài Gòn,Tên công ty > Công ty Cổ phần Điện tử và Dịch vụ Công nghiệp Sài Gòn,Công ty Cổ phần Điện tử và Dịch vụ Công nghiệp Sài Gòn,"Kinh doanh thiết bị điện tử, viễn thông",2.643.029.559,(*),-,4.149.777.349,(*),-,,,2643029559.0,,,4149777349.0,,,
Công ty Cổ phần Phát triển Đất Việt (***),Tên công ty > Công ty Cổ phần Phát triển Đất Việt (***),Công ty Cổ phần Phát triển Đất Việt (***),Kinh doanh bất động sản,-,-,-,2.025.100.993.856,(*),-,,,,,,2025100993856.0,,,
Công ty Cổ phần Sài Gòn Gòn(Thuyết minh 1(iv)),Tên công ty > Công ty Cổ phần Sài Gòn Gòn(Thuyết minh 1(iv)),Công ty Cổ phần Sài Gòn Gòn(Thuyết minh 1(iv)),Kinh doanh bất động sản,148.260.800.420,(*),-,146.665.352.356,(*),-,,,148260800420.0,,,146665352356.0,,,
,,,,5.694.610.841.185,-,-,7.694.964.022.477,-,-,,,5694610841185.0,,,7694964022477.0,,,
