row_label_raw,row_label_full,col_0,Giá trị hợp lý ghi nhận tại ngày mua VND,numeric__Giá trị hợp lý ghi nhận tại ngày mua VND
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,26.243.520.664,26243520664.0
Các khoản phải thu ngắn hạn,Tài sản > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,111.139.697.746,111139697746.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,2.773.313.896.364,2773313896364.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,522.078.763,522078763.0
,,,2.911.219.193.537,2911219193537.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Nợ phải trả,Nợ phải trả > Nợ phải trả,Nợ phải trả,1.945.047.899.587,1945047899587.0
Thuế thu nhập hoãn lại phải trả,Nợ phải trả > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,74.190.354.119,74190354119.0
,,,2.019.238.253.706,2019238253706.0
Tài sản thuần mua được,Nợ phải trả > Tài sản thuần mua được,Tài sản thuần mua được,891.980.939.831,891980939831.0
Lợi thế thương mại,Nợ phải trả > Lợi thế thương mại,Lợi thế thương mại,194.552.287.477,194552287477.0
Lợi ích cổ đông không kiểm soát,Nợ phải trả > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,(298.188.421.729),-298188421729.0
Tổng giá phí,Nợ phải trả > Tổng giá phí,Tổng giá phí,788.344.805.579,788344805579.0
Giá mua lần 1 đã ghi nhận theo phương pháp vốnchủ sở hữu tại ngày đạt được quyền kiểm soát,Nợ phải trả > Giá mua lần 1 đã ghi nhận theo phương pháp vốnchủ sở hữu tại ngày đạt được quyền kiểm soát,Giá mua lần 1 đã ghi nhận theo phương pháp vốnchủ sở hữu tại ngày đạt được quyền kiểm soát,294.000.000.000,294000000000.0
Đánh giá lại khoản đầu tư vào công ty liên kết tại ngày mua,Nợ phải trả > Đánh giá lại khoản đầu tư vào công ty liên kết tại ngày mua,Đánh giá lại khoản đầu tư vào công ty liên kết tại ngày mua,144.344.805.579,144344805579.0
Giá mua lần 2 tại ngày đạt được quyền kiểm soát,Nợ phải trả > Giá mua lần 2 tại ngày đạt được quyền kiểm soát,Giá mua lần 2 tại ngày đạt được quyền kiểm soát,350.000.000.000,350000000000.0
Khoản tiền thu được,Nợ phải trả > Khoản tiền thu được,Khoản tiền thu được,(26.243.520.664),-26243520664.0
Tiền thuần chi ra,Nợ phải trả > Tiền thuần chi ra,Tiền thuần chi ra,617.756.479.336,617756479336.0
