row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Nhà cửa và vật kiến trúc VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2019,Nguyên giá > Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,1.080.322.321.985,2.119.133.997.514,3.199.456.319.499,1080322321985.0,2119133997514.0,3199456319499.0
Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 16),Nguyên giá > Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 16),Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 16),-,5.950.477.083,5.950.477.083,,5950477083.0,5950477083.0
Chuyển từ hàng tồn kho,Nguyên giá > Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,-,744.375.307.588,744.375.307.588,,744375307588.0,744375307588.0
Tăng do mua công ty con,Nguyên giá > Tăng do mua công ty con,Tăng do mua công ty con,-,178.628.541.211,178.628.541.211,,178628541211.0,178628541211.0
Chuyển sang hàng tồn kho,Nguyên giá > Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,-,(37.195.313.098),(37.195.313.098),,-37195313098.0,-37195313098.0
Giảm do thoái vốn công ty con,Nguyên giá > Giảm do thoái vốn công ty con,Giảm do thoái vốn công ty con,(74.272.375.621),(21.400.470),(74.293.776.091),-74272375621.0,-21400470.0,-74293776091.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,(5.012.499.521),(5.012.499.521),,-5012499521.0,-5012499521.0
Tại ngày 31 tháng 12 năm 2019,Nguyên giá > Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,1.006.049.946.364,3.005.859.110.307,4.011.909.056.671,1006049946364.0,3005859110307.0,4011909056671.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,
Tại ngày 1 tháng 1 năm 2019,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,-,(142.670.962.782),(142.670.962.782),,-142670962782.0,-142670962782.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,(53.548.692.375),(53.548.692.375),,-53548692375.0,-53548692375.0
Chuyển sang hàng tồn kho,Giá trị khấu hao lũy kế > Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,-,3.779.703.034,3.779.703.034,,3779703034.0,3779703034.0
Giảm khác,Giá trị khấu hao lũy kế > Giảm khác,Giảm khác,-,30.819.394,30.819.394,,30819394.0,30819394.0
Tăng do hợp nhất kinh doanh,Giá trị khấu hao lũy kế > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,-,(21.079.753.576),(21.079.753.576),,-21079753576.0,-21079753576.0
Giảm do thoái vốn công ty con,Giá trị khấu hao lũy kế > Giảm do thoái vốn công ty con,Giảm do thoái vốn công ty con,-,21.400.470,21.400.470,,21400470.0,21400470.0
Tại ngày 31 tháng 12 năm 2019,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,-,(213.467.485.835),(213.467.485.835),,-213467485835.0,-213467485835.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2019,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,1.080.322.321.985,1.976.463.034.732,3.056.785.356.717,1080322321985.0,1976463034732.0,3056785356717.0
Tại ngày 31 tháng 12 năm 2019,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,1.006.049.946.364,2.792.391.624.472,3.798.441.570.836,1006049946364.0,2792391624472.0,3798441570836.0
