row_label_raw,row_label_full,col_0,col_1,2019VND,2018VND(Trình bày lại),numeric__col_1,numeric__2019VND,numeric__2018VND(Trình bày lại)
i),i),i),Mua dịch vụ,,,,,
i),i) > i),i),Công ty Cổ phần Phát triển và Dịch vụ Nhà Bến Thành,40.563.316.278,55.056.246.652,,40563316278.0,55056246652.0
ii),ii),ii),Lãi cho vay,,,,,
ii),ii) > ii),ii),Công ty Cổ phần Điện tử và Dịch vụ Công nghiệp Sài Gòn,805.628.445,-,,805628445.0,
ii),ii) > ii),ii),Công ty Cổ phần Thạnh Mỹ Lợi,6.054.738.414,5.181.762.538,,6054738414.0,5181762538.0
ii),ii) > ii),ii),Công ty TNHH Sài Gòn Gòn,1.142.493.151,-,,1142493151.0,
ii),ii) > ii),ii),,8.002.860.010,5.181.762.538,,8002860010.0,5181762538.0
iii),iii),iii),Chi phí lãi vay,,,,,
iii),iii) > iii),iii),Công ty Cổ phần Kinh doanh Bất động sản Thái Bình (*),-,5.032.465.753,,,5032465753.0
iii),iii) > iii),iii),Công ty TNHH Sài Gòn Gòn,1.968.520.822,-,,1968520822.0,
iii),iii) > iii),iii),,1.968.520.822,5.032.465.753,,1968520822.0,5032465753.0
iv),iv),iv),Chi phí khác,,,,,
iv),iv) > iv),iv),Công ty TNHH Sài Gòn Gòn,2.398.134.247,-,,2398134247.0,
v),v),v),Các khoản chi cho các nhân sự quản lý chủ chốt,,,,,
v),v) > v),v),Lương và các quyền lợi gộp khác,21.405.636.681,23.726.625.300,,21405636681.0,23726625300.0
