row_label_raw,row_label_full,col_0,Giá trị hợp lý ghi nhận tại ngày mua VND,numeric__Giá trị hợp lý ghi nhận tại ngày mua VND
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,7.701.090.616,7701090616.0
Các khoản phải thu ngắn hạn,Tài sản > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,7.563.734.003,7563734003.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,1.436.025.622.283,1436025622283.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,18.450.345.882,18450345882.0
,,,1.469.740.792.784,1469740792784.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Nợ phải trả,Nợ phải trả > Nợ phải trả,Nợ phải trả,48.520.764.396,48520764396.0
Thuế thu nhập hoãn lại phải trả,Nợ phải trả > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,266.705.190.695,266705190695.0
,,,315.225.955.091,315225955091.0
Tài sản thuần mua được,Nợ phải trả > Tài sản thuần mua được,Tài sản thuần mua được,1.154.514.837.693,1154514837693.0
Lãi từ giao dịch mua rễ,Nợ phải trả > Lãi từ giao dịch mua rễ,Lãi từ giao dịch mua rễ,(240.072.977.824),-240072977824.0
Lợi ích cổ đông không kiểm soát,Nợ phải trả > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,(24.360.953.500),-24360953500.0
Tổng giá phí,Tổng giá phí,Tổng giá phí,Tổng giá phí,
Giá mua lần 1 đã ghi nhận theo phương pháp vốn chủ sở hữu tại ngày đạt được quyền kiểm soát,Tổng giá phí > Giá mua lần 1 đã ghi nhận theo phương pháp vốn chủ sở hữu tại ngày đạt được quyền kiểm soát,Giá mua lần 1 đã ghi nhận theo phương pháp vốn chủ sở hữu tại ngày đạt được quyền kiểm soát,890.080.906.369,890080906369.0
Đánh giá lại khoản đầu tư vào công ty liên kết tại ngày mua,Tổng giá phí > Đánh giá lại khoản đầu tư vào công ty liên kết tại ngày mua,Đánh giá lại khoản đầu tư vào công ty liên kết tại ngày mua,263.997.262.083,263997262083.0
Giá mua lần 2 tại ngày đạt được quyền kiểm soát,Tổng giá phí > Giá mua lần 2 tại ngày đạt được quyền kiểm soát,Giá mua lần 2 tại ngày đạt được quyền kiểm soát,301.149.644.286,301149644286.0
Khoản tiền thu được,Tổng giá phí > Khoản tiền thu được,Khoản tiền thu được,324.934.000.000,324934000000.0
Lợi nhuận sau thuế lũy kế từ công ty liên kết,Tổng giá phí > Lợi nhuận sau thuế lũy kế từ công ty liên kết,Lợi nhuận sau thuế lũy kế từ công ty liên kết,(7.701.090.616),-7701090616.0
,,,10.485.737.917,10485737917.0
Tiền thuần chi ra,Tổng giá phí > Tiền thuần chi ra,Tiền thuần chi ra,591.715.909.384,591715909384.0
