row_label_raw,row_label_full,Năm phát sinh,Lỗ tính thuế còn được chuyển sang các kỳ tính thuế sau VND,numeric__Lỗ tính thuế còn được chuyển sang các kỳ tính thuế sau VND
2015,2015,2015,88.763.066.258,88763066258.0
2016,2016,2016,304.593.365.848,304593365848.0
2017 (*),2017 (*),2017 (*),2.497.913.009.927,2497913009927.0
2018 (*),2018 (*),2018 (*),2.762.667.803.917,2762667803917.0
2019 (*),2019 (*),2019 (*),3.450.134.645.609,3450134645609.0
