row_label_raw,row_label_full,col_0,2019VND,2018VND(Trình bày lại),numeric__2019VND,numeric__2018VND(Trình bày lại)
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,6.355.909.039.839,2.265.883.994.496,6355909039839.0,2265883994496.0
Tăng (*),Tăng (*),Tăng (*),1.305.272.410.195,4.556.626.494.260,1305272410195.0,4556626494260.0
Giảm trong năm do bán công ty con,Giảm trong năm do bán công ty con,Giảm trong năm do bán công ty con,-,(55.496.126.738),,-55496126738.0
Phân bổ (Thuyết minh 36),Phân bổ (Thuyết minh 36),Phân bổ (Thuyết minh 36),(819.723.509.670),(411.105.322.179),-819723509670.0,-411105322179.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,6.841.457.940.364,6.355.909.039.839,6841457940364.0,6355909039839.0
