row_label_raw,row_label_full,Mãsố,col_1,Năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Năm tài chính kết thúc ngày 31 tháng 12 năm 2018_1,Năm tài chính kết thúc ngày 31 tháng 12 năm 2018_2,numeric__col_1,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2018,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2018_1,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2018_2
Mãsố,Mãsố,Mãsố,,Đã được trình bày trước đây VND,Điều chỉnh lại VND,Trình bày lại VND,,,,
01,Mãsố > 01,01,Lợi nhuận trước thuế,4.675.374.768.538,10.239.541.699,4.685.614.310.237,,4675374768538.0,10239541699.0,4685614310237.0
01,01,01,Điều chỉnh cho các khoản:,,,,,,,
02,01 > 02,02,"Khấu hao tài sản cố định, bất động sản đầu tư và phân bổ/giảm lợi thế thương mại",517.049.317.948,(20.176.035.165),496.873.282.783,,517049317948.0,-20176035165.0,496873282783.0
05,01 > 05,05,Lãi từ hoạt động đầu tư,(2.468.804.185.787),3.444.575.327,(2.465.359.610.460),,-2468804185787.0,3444575327.0,-2465359610460.0
06,01 > 06,06,Chi phí lãi vay và phát hành trái phiếu,1.441.738.182.823,1.994.857.404,1.443.733.040.227,,1441738182823.0,1994857404.0,1443733040227.0
08,01 > 08,08,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,4.313.213.191.976,(4.497.060.735),4.308.716.131.241,,4313213191976.0,-4497060735.0,4308716131241.0
09,01 > 09,09,Giảm các khoản phải thu,2.824.622.148.839,(87.601.726.366),2.737.020.422.473,,2824622148839.0,-87601726366.0,2737020422473.0
10,01 > 10,10,Giảm hàng tồn kho,127.667.292.027,42.891.925.718,170.559.217.745,,127667292027.0,42891925718.0,170559217745.0
11,01 > 11,11,Tăng các khoản phải trả,(4.315.181.771.102),48.546.817.786,(4.266.634.953.316),,-4315181771102.0,48546817786.0,-4266634953316.0
12,01 > 12,12,Giảm chi phí trả trước,65.320.845.837,30.569.135,65.351.414.972,,65320845837.0,30569135.0,65351414972.0
14,01 > 14,14,Tiền lãi vay đã trả,(1.793.288.879.653),56.418.082,(1.793.232.461.571),,-1793288879653.0,56418082.0,-1793232461571.0
20,01 > 20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,575.268.253.692,(573.056.380),574.695.197.312,,575268253692.0,-573056380.0,574695197312.0
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
21,01 > 21,21,"Chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",(170.699.012.647),301.017.739,(170.397.994.908),,-170699012647.0,301017739.0,-170397994908.0
27,01 > 27,27,"Tiền thu lãi tiền gửi, lãi cho vay, cổ tức và lợi nhuận được chia",364.661.390.314,(78.019.221),364.583.371.093,,364661390314.0,-78019221.0,364583371093.0
30,01 > 30,30,Lưu chuyển tiền thuần từ hoạt động đầu tư,(5.861.344.223.355),222.998.518,(5.861.121.224.837),,-5861344223355.0,222998518.0,-5861121224837.0
33,01 > 33,33,"Thu từ vay ngắn hạn, dài hạn",22.160.749.489.009,(7.700.000.000),22.153.049.489.009,,22160749489009.0,-7700000000.0,22153049489009.0
34,01 > 34,34,Chi trả nợ gốc vay,(14.779.563.168.477),7.700.000.000,(14.771.863.168.477),,-14779563168477.0,7700000000.0,-14771863168477.0
50,01 > 50,50,Lưu chuyển tiền thuần trong năm,5.676.501.642.583,(350.057.862),5.676.151.584.721,,5676501642583.0,-350057862.0,5676151584721.0
60,01 > 60,60,Tiền và tương đương tiền đầu năm,6.650.160.994.741,(11.421.474.207),6.638.739.520.534,,6650160994741.0,-11421474207.0,6638739520534.0
70,01 > 70,70,Tiền và tương đương tiền cuối năm,12.326.942.295.680,(11.771.532.069),12.315.170.763.611,,12326942295680.0,-11771532069.0,12315170763611.0
