row_label_raw,row_label_full,col_0,31.12.2019 > Giá trị VND,31.12.2019 > Dự phòng VND,31.12.2018 > Giá trị VND(Trình bày lại),31.12.2018 > Dự phòng VND(Trình bày lại),numeric__31.12.2019 > Giá trị VND,numeric__31.12.2019 > Dự phòng VND,numeric__31.12.2018 > Giá trị VND(Trình bày lại),numeric__31.12.2018 > Dự phòng VND(Trình bày lại)
Bên thứ ba,Bên thứ ba,Bên thứ ba,2.770.959.941.152,-,2.558.570.085.336,-,2770959941152.0,,2558570085336.0,
Bên liên quan (Thuyết minh 41(b)),Bên liên quan (Thuyết minh 41(b)),Bên liên quan (Thuyết minh 41(b)),454.041.456.293,-,460.087.261.215,-,454041456293.0,,460087261215.0,
,,,3.225.001.397.445,-,3.018.657.346.551,-,3225001397445.0,,3018657346551.0,
