row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócvà thiết bịVND,Phương tiệnvận tảiVND,"Thiết bị,dụng cụ quản lýVND",Tài sảncố định khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận tảiVND,"numeric__Thiết bị,dụng cụ quản lýVND",numeric__Tài sảncố định khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2019(Trình bày lại),Nguyên giá > Tại ngày 1 tháng 1 năm 2019(Trình bày lại),Tại ngày 1 tháng 1 năm 2019(Trình bày lại),653.476.267.623,16.025.696.657,135.088.324.591,33.694.081.027,341.609.091,838.625.978.989,653476267623.0,16025696657.0,135088324591.0,33694081027.0,341609091.0,838625978989.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,1.694.313.348,3.441.833.574,8.089.840.182,10.603.870.579,-,23.829.857.683,1694313348.0,3441833574.0,8089840182.0,10603870579.0,,23829857683.0
Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 16),Nguyên giá > Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 16),Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 16),25.229.038.713,10.914.220.240,-,-,-,36.143.258.953,25229038713.0,10914220240.0,,,,36143258953.0
Tăng do mua công ty con,Nguyên giá > Tăng do mua công ty con,Tăng do mua công ty con,9.384.980.781,8.226.923.462,4.105.493.211,2.504.247.880,-,24.221.645.334,9384980781.0,8226923462.0,4105493211.0,2504247880.0,,24221645334.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(354.000.000),-,(15.166.727.273),-,(124.000.000),(15.644.727.273),-354000000.0,,-15166727273.0,,-124000000.0,-15644727273.0
Tại ngày 31 tháng 12 năm 2019,Nguyên giá > Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,689.430.600.465,38.608.673.933,132.116.930.711,46.802.199.486,217.609.091,907.176.013.686,689430600465.0,38608673933.0,132116930711.0,46802199486.0,217609091.0,907176013686.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2019 (Trìnhbảy lại),Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2019 (Trìnhbảy lại),Tại ngày 1 tháng 1 năm 2019 (Trìnhbảy lại),(98.225.199.652),(12.571.042.626),(35.491.319.061),(17.707.740.779),(323.156.800),(164.318.458.918),-98225199652.0,-12571042626.0,-35491319061.0,-17707740779.0,-323156800.0,-164318458918.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(17.841.730.216),(1.622.111.804),(17.768.325.175),(6.464.832.569),(11.654.078),(43.708.653.842),-17841730216.0,-1622111804.0,-17768325175.0,-6464832569.0,-11654078.0,-43708653842.0
Tăng do mua công ty con,Giá trị khấu hao lũy kế > Tăng do mua công ty con,Tăng do mua công ty con,(3.211.767.187),(406.565.658),(626.314.972),(2.254.415.912),-,(6.499.063.729),-3211767187.0,-406565658.0,-626314972.0,-2254415912.0,,-6499063729.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",354.000.000,-,5.288.237.408,-,124.000.000,5.766.237.408,354000000.0,,5288237408.0,,124000000.0,5766237408.0
Tại ngày 31 tháng 12 năm 2019,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,(118.924.697.055),(14.599.720.088),(48.597.721.800),(26.426.989.260),(210.810.878),(208.759.939.081),-118924697055.0,-14599720088.0,-48597721800.0,-26426989260.0,-210810878.0,-208759939081.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2019 (Trìnhbảy lại),Giá trị còn lại > Tại ngày 1 tháng 1 năm 2019 (Trìnhbảy lại),Tại ngày 1 tháng 1 năm 2019 (Trìnhbảy lại),555.251.067.971,3.454.654.031,99.597.005.530,15.986.340.248,18.452.291,674.307.520.071,555251067971.0,3454654031.0,99597005530.0,15986340248.0,18452291.0,674307520071.0
Tại ngày 31 tháng 12 năm 2019,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,570.505.903.410,24.008.953.845,83.519.208.911,20.375.210.226,6.798.213,698.416.074.605,570505903410.0,24008953845.0,83519208911.0,20375210226.0,6798213.0,698416074605.0
