row_label_raw,row_label_full,col_0,Giá trị hợp lý ghi nhận tại ngày mua VND,numeric__Giá trị hợp lý ghi nhận tại ngày mua VND
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,71.142.363.829,71142363829.0
Các khoản phải thu ngắn hạn,Tài sản > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,1.056.798.209.345,1056798209345.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,1.546.357.995.789,1546357995789.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,306.046.381.366,306046381366.0
,,,2.980.344.950.329,2980344950329.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Nợ phải trả,Nợ phải trả > Nợ phải trả,Nợ phải trả,1.439.828.675.576,1439828675576.0
Thuế thu nhập hoãn lại phải trả,Nợ phải trả > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,191.481.416.981,191481416981.0
,,,1.631.310.092.557,1631310092557.0
Tài sản thuần mua được,Nợ phải trả > Tài sản thuần mua được,Tài sản thuần mua được,1.349.034.857.772,1349034857772.0
Lãi từ giao dịch mua rẻ,Nợ phải trả > Lãi từ giao dịch mua rẻ,Lãi từ giao dịch mua rẻ,(546.131.063.664),-546131063664.0
Lợi ích cổ đông không kiểm soát,Nợ phải trả > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,(42.903.794.108),-42903794108.0
Tổng giá phí,Nợ phải trả > Tổng giá phí,Tổng giá phí,760.000.000.000,760000000000.0
Khoản tiền thu được,Nợ phải trả > Khoản tiền thu được,Khoản tiền thu được,(71.142.363.829),-71142363829.0
Tiền thuần chi ra,Nợ phải trả > Tiền thuần chi ra,Tiền thuần chi ra,688.857.636.171,688857636171.0
