row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Đã được trình bày trước đây VND,Điều chỉnh lại VND,Trình bày lại VND,numeric__NGUỒN VỐN,numeric__Đã được trình bày trước đây VND,numeric__Điều chỉnh lại VND,numeric__Trình bày lại VND
300,300,300,NỘ PHẢI TRẢ,49.452.086.677.765,(299.759.422.791),49.152.327.254.974,,49452086677765.0,-299759422791.0,49152327254974.0
310,310,310,Nợ ngắn hạn,27.969.394.567.002,25.748.855.571,27.995.143.422.573,,27969394567002.0,25748855571.0,27995143422573.0
311,311,311,Phải trả người bán ngắn hạn,2.523.012.259.596,(4.875.582.089),2.518.136.677.507,,2523012259596.0,-4875582089.0,2518136677507.0
315,315,315,Chi phí phải trả ngắn hạn,2.711.170.532.425,(1.373.128.640),2.709.797.403.785,,2711170532425.0,-1373128640.0,2709797403785.0
319,319,319,Phải trả ngắn hạn khác,2.711.456.498.429,31.997.566.300,2.743.454.064.729,,2711456498429.0,31997566300.0,2743454064729.0
330,330,330,Nợ dài hạn,21.482.692.110.763,(325.508.278.362),21.157.183.832.401,,21482692110763.0,-325508278362.0,21157183832401.0
337,337,337,Phải trả dài hạn khác,2.495.831.870.100,72.760.000.000,2.568.591.870.100,,2495831870100.0,72760000000.0,2568591870100.0
341,341,341,Thuế thu nhập hoãn lại phải trả,2.697.115.228.051,(398.268.278.362),2.298.846.949.689,,2697115228051.0,-398268278362.0,2298846949689.0
400,400,400,VỐN CHỦ SỞ HỮU,20.460.126.485.778,(490.326.795.571),19.969.799.690.207,,20460126485778.0,-490326795571.0,19969799690207.0
410,410,410,Vốn chủ sở hữu,20.460.126.485.778,(490.326.795.571),19.969.799.690.207,,20460126485778.0,-490326795571.0,19969799690207.0
421,421,421,"Lợi nhuận sau thuế (""LNST"") chưa phân phối",6.107.694.627.582,(488.996.457.753),5.618.698.169.829,,6107694627582.0,-488996457753.0,5618698169829.0
421a,421a,421a,- LNST chưa phân phối lũy kế đến cuối năm trước,2.886.728.106.652,(497.914.479.942),2.388.813.626.710,,2886728106652.0,-497914479942.0,2388813626710.0
421b,421b,421b,- LNST chưa phân phối năm nay,3.220.966.520.930,8.918.022.189,3.229.884.543.119,,3220966520930.0,8918022189.0,3229884543119.0
429,429,429,Lợi ích cổ đông không kiểm soát,982.825.337.170,(1.330.337.818),981.494.999.352,,982825337170.0,-1330337818.0,981494999352.0
440,440,440,TỔNG NGUỒN VỐN,69.912.213.163.543,(790.086.218.362),69.122.126.945.181,,69912213163543.0,-790086218362.0,69122126945181.0
