row_label_raw,row_label_full,col_0,2019VND,2018VND(Trình bày lại),numeric__2019VND,numeric__2018VND(Trình bày lại)
Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,,
Lãi từ giao dịch mua rè (*),Thu nhập khác > Lãi từ giao dịch mua rè (*),Lãi từ giao dịch mua rè (*),3.684.174.254.384,-,3684174254384.0,
Thu tiền phạt vi phạm hợp đồng,Thu nhập khác > Thu tiền phạt vi phạm hợp đồng,Thu tiền phạt vi phạm hợp đồng,155.721.996.209,65.880.231.420,155721996209.0,65880231420.0
Thu nhập từ bán phê liệu và công cụ dụng cụ,Thu nhập khác > Thu nhập từ bán phê liệu và công cụ dụng cụ,Thu nhập từ bán phê liệu và công cụ dụng cụ,184.718.636,1.187.240.505,184718636.0,1187240505.0
Lãi thuần do thanh lý TSCĐ,Thu nhập khác > Lãi thuần do thanh lý TSCĐ,Lãi thuần do thanh lý TSCĐ,-,598.603.810,,598603810.0
Các khoản thu nhập khác,Thu nhập khác > Các khoản thu nhập khác,Các khoản thu nhập khác,7.053.775.969,3.553.725.270,7053775969.0,3553725270.0
,,,3.847.134.745.198,71.219.801.005,3847134745198.0,71219801005.0
Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,,
"Tiền phạt, bồi thường do vi phạm hợp đồng","Chi phí khác > Tiền phạt, bồi thường do vi phạm hợp đồng","Tiền phạt, bồi thường do vi phạm hợp đồng",156.129.392.640,56.010.884.822,156129392640.0,56010884822.0
Lỗ thuần do thanh lý TSCĐ,Chi phí khác > Lỗ thuần do thanh lý TSCĐ,Lỗ thuần do thanh lý TSCĐ,3.189.421.674,15.189.551.130,3189421674.0,15189551130.0
Các khoản chi phí khác,Chi phí khác > Các khoản chi phí khác,Các khoản chi phí khác,7.965.091.434,3.281.103.998,7965091434.0,3281103998.0
,,,167.283.905.748,74.481.539.950,167283905748.0,74481539950.0
