row_label_raw,row_label_full,col_0,Giá trị hợp lý ghi nhận tại ngày mua VND,numeric__Giá trị hợp lý ghi nhận tại ngày mua VND
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,57.407.001,57407001.0
Trả trước cho người bán ngắn hạn,Tài sản > Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,14.866.786.928,14866786928.0
Phải thu ngắn hạn khác,Tài sản > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,82.750.000,82750000.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,3.642.894.592.897,3642894592897.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,24.743.211.841,24743211841.0
,,,3.682.644.748.667,3682644748667.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Nợ phải trả,Nợ phải trả > Nợ phải trả,Nợ phải trả,286.188.969.156,286188969156.0
Thuế thu nhập hoãn lại phải trả,Nợ phải trả > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,519.746.860.251,519746860251.0
,,,805.935.829.407,805935829407.0
Tài sản thuần,Nợ phải trả > Tài sản thuần,Tài sản thuần,2.876.708.919.260,2876708919260.0
Lợi thế thương mại,Nợ phải trả > Lợi thế thương mại,Lợi thế thương mại,220.668.749.763,220668749763.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,(862.591.552.210,
Tổng giá phí,Lợi ích cổ đông không kiểm soát > Tổng giá phí,Tổng giá phí,2.234.786.116.813,2234786116813.0
Khoản tiền thu được,Khoản tiền thu được,Khoản tiền thu được,(57.407.001,
Tiền thuần chi ra,Khoản tiền thu được > Tiền thuần chi ra,Tiền thuần chi ra,2.234.728.709.812,2234728709812.0
