row_label_raw,row_label_full,col_0,Cổ phần thường,Cổ phần ưu đãi,Tổng cộng,numeric__Cổ phần thường,numeric__Cổ phần ưu đãi,numeric__Tổng cộng
Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,642.828.788,6.830.000,649.658.788,642828788.0,6830000.0,649658788.0
Phát hành cổ phiếu thường theo chương trình ESOP 2017,Phát hành cổ phiếu thường theo chương trình ESOP 2017,Phát hành cổ phiếu thường theo chương trình ESOP 2017,9.809.962,-,9.809.962,9809962.0,,9809962.0
Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,202.317.178,-,202.317.178,202317178.0,,202317178.0
Phát hành riêng lẻ cổ phiếu thường,Phát hành riêng lẻ cổ phiếu thường,Phát hành riêng lẻ cổ phiếu thường,52.500.000,-,52.500.000,52500000.0,,52500000.0
Chuyển đổi trái phiếu chuyển đổi,Chuyển đổi trái phiếu chuyển đổi,Chuyển đổi trái phiếu chuyển đổi,320.746,-,320.746,320746.0,,320746.0
Phát hành cổ phiếu thường theo chương trình ESOP 2018,Phát hành cổ phiếu thường theo chương trình ESOP 2018,Phát hành cổ phiếu thường theo chương trình ESOP 2018,22.670.000,-,22.670.000,22670000.0,,22670000.0
Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,930.446.674,6.830.000,937.276.674,930446674.0,6830000.0,937276674.0
Phát hành cổ phiếu thường theo chương trình ESOP 2019,Phát hành cổ phiếu thường theo chương trình ESOP 2019,Phát hành cổ phiếu thường theo chương trình ESOP 2019,18.604.123,-,18.604.123,18604123.0,,18604123.0
Chuyển đổi cổ phần ưu đãi,Chuyển đổi cổ phần ưu đãi,Chuyển đổi cổ phần ưu đãi,20.490.000,(6.830.000),13.660.000,20490000.0,-6830000.0,13660000.0
Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,969.540.797,-,969.540.797,969540797.0,,969540797.0
