row_label_raw,row_label_full,col_0,Cổ phần thường VND,Cổ phần ưu đãi VND,Thặng dư vốn cổ phần VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Cổ phần thường VND,numeric__Cổ phần ưu đãi VND,numeric__Thặng dư vốn cổ phần VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Tại ngày 1 tháng 1 năm 2018(Trình bày lại),Tại ngày 1 tháng 1 năm 2018(Trình bày lại),Tại ngày 1 tháng 1 năm 2018(Trình bày lại),6.428.287.880.000,68.300.000.000,3.206.830.905.400,2.409.303.626.710,641.462.196.970,12.754.184.609.080,6428287880000.0,68300000000.0,3206830905400.0,2409303626710.0,641462196970.0,12754184609080.0
Phát hành cổ phần thường theo chương trình ESOP 2017,Phát hành cổ phần thường theo chương trình ESOP 2017,Phát hành cổ phần thường theo chương trình ESOP 2017,98.099.620.000,-,-,-,-,98.099.620.000,98099620000.0,,,,,98099620000.0
Phát hành cổ phần thường,Phát hành cổ phần thường,Phát hành cổ phần thường,2.023.171.780.000,-,(2.023.171.780.000),-,-,-,2023171780000.0,,-2023171780000.0,,,
Phát hành riêng lẻ cổ phần thường,Phát hành riêng lẻ cổ phần thường,Phát hành riêng lẻ cổ phần thường,525.000.000.000,-,2.793.725.115.626,-,-,3.318.725.115.626,525000000000.0,,2793725115626.0,,,3318725115626.0
Phát hành cổ phần thường để hoán đổi đối trái phiếu chuyển đổi,Phát hành cổ phần thường để hoán đổi đối trái phiếu chuyển đổi,Phát hành cổ phần thường để hoán đổi đối trái phiếu chuyển đổi,3.207.460.000,-,19.565.540.000,-,-,22.773.000.000,3207460000.0,,19565540000.0,,,22773000000.0
Phát hành cổ phần thường theo chương trình ESOP 2018,Phát hành cổ phần thường theo chương trình ESOP 2018,Phát hành cổ phần thường theo chương trình ESOP 2018,226.700.000.000,-,(110.000.000),-,-,226.590.000.000,226700000000.0,,-110000000.0,,,226590000000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,3.238.878.304.013,40.070.983.473,3.278.949.287.486,,,,3238878304013.0,40070983473.0,3278949287486.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(20.490.000.000),(12.908.761.912),(33.398.761.912),,,,-20490000000.0,-12908761912.0,-33398761912.0
"Mua mới, thành lập mới công ty con","Mua mới, thành lập mới công ty con","Mua mới, thành lập mới công ty con",-,-,-,-,453.995.837.235,453.995.837.235,,,,,453995837235.0,453995837235.0
Thay đổi tỷ lệ của công ty con đã nằm quyền kiểm soát,Thay đổi tỷ lệ của công ty con đã nằm quyền kiểm soát,Thay đổi tỷ lệ của công ty con đã nằm quyền kiểm soát,-,-,-,(8.993.760.894),(141.125.256.414),(150.119.017.308),,,,-8993760894.0,-141125256414.0,-150119017308.0
Tại ngày 31 tháng 12 năm 2018(Trình bày lại),Tại ngày 31 tháng 12 năm 2018(Trình bày lại),Tại ngày 31 tháng 12 năm 2018(Trình bày lại),9.304.466.740.000,68.300.000.000,3.996.839.781.026,5.618.698.169.829,981.494.999.352,19.969.799.690.207,9304466740000.0,68300000000.0,3996839781026.0,5618698169829.0,981494999352.0,19969799690207.0
Phát hành cổ phần thường theo chương trình ESOP 2019 (i),Phát hành cổ phần thường theo chương trình ESOP 2019 (i),Phát hành cổ phần thường theo chương trình ESOP 2019 (i),186.041.230.000,-,-,-,-,186.041.230.000,186041230000.0,,,,,186041230000.0
Phát hành cổ phần thường để hoán đổi cổ phiếu ưu đãi (ii),Phát hành cổ phần thường để hoán đổi cổ phiếu ưu đãi (ii),Phát hành cổ phần thường để hoán đổi cổ phiếu ưu đãi (ii),204.900.000.000,(68.300.000.000),(136.600.000.000),-,-,-,204900000000.0,-68300000000.0,-136600000000.0,,,
Chi phí liên quan đến việc phát hành cổ phiếu,Chi phí liên quan đến việc phát hành cổ phiếu,Chi phí liên quan đến việc phát hành cổ phiếu,-,-,(50.000.000),-,-,(50.000.000),,,-50000000.0,,,-50000000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,3.431.331.162.442,(44.009.060.531),3.387.322.101.911,,,,3431331162442.0,-44009060531.0,3387322101911.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(21.076.808.219),(19.719.873.178),(40.796.681.397),,,,-21076808219.0,-19719873178.0,-40796681397.0
"Mua mới, thành lập mới công ty con","Mua mới, thành lập mới công ty con","Mua mới, thành lập mới công ty con",-,-,-,-,1.328.995.600.196,1.328.995.600.196,,,,,1328995600196.0,1328995600196.0
Thay đổi tỷ lệ của công ty con đã nằm quyền kiểm soát,Thay đổi tỷ lệ của công ty con đã nằm quyền kiểm soát,Thay đổi tỷ lệ của công ty con đã nằm quyền kiểm soát,-,-,-,(306.123.803.463),(64.114.305.607),(370.238.109.070),,,,-306123803463.0,-64114305607.0,-370238109070.0
Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,9.695.407.970.000,-,3.860.189.781.026,8.722.828.720.589,2.182.647.360.232,24.461.073.831.847,9695407970000.0,,3860189781026.0,8722828720589.0,2182647360232.0,24461073831847.0
