row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,"Nhân hiệu, tên thương mại VND",Phần mềm máy tính VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,"numeric__Nhân hiệu, tên thương mại VND",numeric__Phần mềm máy tính VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Tại ngày 1 tháng 1 năm 2019(Trình bày lại),Nguyên giá > Tại ngày 1 tháng 1 năm 2019(Trình bày lại),Tại ngày 1 tháng 1 năm 2019(Trình bày lại),68.582.465.587,30.000.000,23.202.334.010,91.814.799.597,68582465587.0,30000000.0,23202334010.0,91814799597.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,-,11.093.259.845,11.093.259.845,,,11093259845.0,11093259845.0
Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 16),Nguyên giá > Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 16),Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 16),119.702.360,-,65.643.483.220,65.763.185.580,119702360.0,,65643483220.0,65763185580.0
Tăng do hợp nhất,Nguyên giá > Tăng do hợp nhất,Tăng do hợp nhất,-,-,35.585.000,35.585.000,,,35585000.0,35585000.0
Tại ngày 31 tháng 12 năm 2019,Nguyên giá > Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,68.702.167.947,30.000.000,99.974.662.075,168.706.830.022,68702167947.0,30000000.0,99974662075.0,168706830022.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,
Tại ngày 1 tháng 1 năm 2019(Trình bày lại),Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2019(Trình bày lại),Tại ngày 1 tháng 1 năm 2019(Trình bày lại),-,(30.000.000),(10.241.886.780),(10.271.886.780),,-30000000.0,-10241886780.0,-10271886780.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,-,(16.770.879.742),(16.770.879.742),,,-16770879742.0,-16770879742.0
Tăng do hợp nhất,Giá trị khấu hao lũy kế > Tăng do hợp nhất,Tăng do hợp nhất,-,-,(35.585.000),(35.585.000),,,-35585000.0,-35585000.0
Tại ngày 31 tháng 12 năm 2019,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,-,(30.000.000),(27.048.351.522),(27.078.351.522),,-30000000.0,-27048351522.0,-27078351522.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày 1 tháng 1 năm 2019(Trình bày lại),Giá trị còn lại > Tại ngày 1 tháng 1 năm 2019(Trình bày lại),Tại ngày 1 tháng 1 năm 2019(Trình bày lại),68.582.465.587,-,12.960.447.230,81.542.912.817,68582465587.0,,12960447230.0,81542912817.0
Tại ngày 31 tháng 12 năm 2019,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,68.702.167.947,-,72.926.310.553,141.628.478.500,68702167947.0,,72926310553.0,141628478500.0
