row_label_raw,row_label_full,Mãsố,Thuyếtminh,Năm tài chính kết thúcngày 31 tháng 12 năm,Năm tài chính kết thúcngày 31 tháng 12 năm_1,numeric__Thuyếtminh,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm_1
Mãsố,Mãsố,Mãsố,Thuyếtminh,2019VND,2018VND(Trình bày lại),,,
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,
01,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 01,01,"Lợi nhuận kế toán trước thuếĐiều chỉnh cho các khoản:Khấu hao tài sản cố định (""TSCĐ""), bất động sản đầu tư, phân bổ lợi thế thương mại và lãi từ giao dịch mua rề",4.272.235.676.472,4.685.614.310.237,,4272235676472.0,4685614310237.0
02,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 02,02,,(2.750.422.518.755),496.873.282.783,,-2750422518755.0,496873282783.0
03,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 03,03,Các khoản dự phòng,152.077.733.090,10.321.013.452,,152077733090.0,10321013452.0
04,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 04,04,Lỗ chênh lệch tỷ giá hối đoái,4.193.535.205,137.534.095.002,,4193535205.0,137534095002.0
05,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 05,05,Lãi từ hoạt động đầu tư,(974.173.763.255),(2.465.359.610.460),,-974173763255.0,-2465359610460.0
06,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 06,06,Chi phí lãi vay và phát hành trái phiếu,1.186.691.999.092,1.443.733.040.227,,1186691999092.0,1443733040227.0
08,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 08,08,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,1.890.602.661.849,4.308.716.131.241,,1890602661849.0,4308716131241.0
09,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 09,09,Giảm các khoản phải thu,1.262.582.829.809,2.737.020.422.473,,1262582829809.0,2737020422473.0
