row_label_raw,row_label_full,Mã số,TÀI SẢN (tiếp theo),Thuyết minh,Tại ngày 31 tháng 12 năm > 2019 VND,Tại ngày 31 tháng 12 năm > 2018 VND(Trình bày lại),numeric__TÀI SẢN (tiếp theo),numeric__Thuyết minh,numeric__Tại ngày 31 tháng 12 năm > 2019 VND,numeric__Tại ngày 31 tháng 12 năm > 2018 VND(Trình bày lại)
200,200,200,TÀI SẢN DÀI HẠN,,18.784.421.425.391,19.041.105.364.812,,,18784421425391.0,19041105364812.0
210,210,210,Các khoản phải thu dài hạn,,370.739.066.748,255.403.896.052,,,370739066748.0,255403896052.0
216,216,216,Phải thu dài hạn khác,9(b),370.739.066.748,255.403.896.052,,,370739066748.0,255403896052.0
220,220,220,Tài sản cố định,,840.044.553.105,755.850.432.888,,,840044553105.0,755850432888.0
221,221,221,Tài sản cố định hữu hình,13,698.416.074.605,674.307.520.071,,13.0,698416074605.0,674307520071.0
222,222,222,Nguyên giá,,907.176.013.686,838.625.978.989,,,907176013686.0,838625978989.0
223,223,223,Giá trị khấu hao lũy kế,,(208.759.939.081),(164.318.458.918),,,-208759939081.0,-164318458918.0
227,227,227,Tài sản cố định vô hình,14,141.628.478.500,81.542.912.817,,14.0,141628478500.0,81542912817.0
228,228,228,Nguyên giá,,168.706.830.022,91.814.799.597,,,168706830022.0,91814799597.0
229,229,229,Giá trị khấu hao lũy kế,,(27.078.351.522),(10.271.886.780),,,-27078351522.0,-10271886780.0
230,230,230,Bất động sản đầu tư,15,3.798.441.570.836,3.056.785.356.717,,15.0,3798441570836.0,3056785356717.0
231,231,231,Nguyên giá,,4.011.909.056.671,3.199.456.319.499,,,4011909056671.0,3199456319499.0
232,232,232,Giá trị khấu hao lũy kế,,(213.467.485.835),(142.670.962.782),,,-213467485835.0,-142670962782.0
240,240,240,Tài sản dở dang dài hạn,,850.087.814.441,430.179.529.043,,,850087814441.0,430179529043.0
241,241,241,"Chi phí sản xuất, kinh doanh dở dang dài hạn",11(b),181.995.269.013,181.962.136.884,,,181995269013.0,181962136884.0
242,242,242,Chi phí xây dựng cơ bản dở dang,16,668.092.545.428,248.217.392.159,,16.0,668092545428.0,248217392159.0
250,250,250,Đầu tư tài chính dài hạn,,5.744.314.191.185,7.702.903.772.477,,,5744314191185.0,7702903772477.0
252,252,252,"Đầu tư vào công ty liên doanh, liên kết",5(b),5.694.610.841.185,7.694.964.022.477,,,5694610841185.0,7694964022477.0
253,253,253,Đầu tư góp vốn vào đơn vị khác,5(b),7.939.750.000,7.939.750.000,,,7939750000.0,7939750000.0
255,255,255,Đầu tư nắm giữ đến ngày đáo hạn,5(a)(ii),41.763.600.000,-,,,41763600000.0,
260,260,260,Tài sản dài hạn khác,,7.180.794.229.076,6.839.982.377.635,,,7180794229076.0,6839982377635.0
261,261,261,Chi phí trả trước dài hạn,12(b),262.799.866.843,414.115.027.558,,,262799866843.0,414115027558.0
262,262,262,Tài sản thuế thu nhập hoãn lại,38(a),76.536.421.869,69.958.310.238,,,76536421869.0,69958310238.0
269,269,269,Lợi thế thương mại,17,6.841.457.940.364,6.355.909.039.839,,17.0,6841457940364.0,6355909039839.0
270,270,270,TỔNG TÀI SẢN,,89.979.242.598.519,69.122.126.945.181,,,89979242598519.0,69122126945181.0
