row_label_raw,row_label_full,col_0,2019VND,2018VND(Trình bày lại),numeric__2019VND,numeric__2018VND(Trình bày lại)
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,63.919.829.149,53.490.433.210,63919829149.0,53490433210.0
Chi phí vật liệu quản lý,Chi phí vật liệu quản lý,Chi phí vật liệu quản lý,1.428.465.492,345.452.957,1428465492.0,345452957.0
Chi phí đồ dùng văn phòng,Chi phí đồ dùng văn phòng,Chi phí đồ dùng văn phòng,3.616.299.216,1.489.777.297,3616299216.0,1489777297.0
Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,13.425.693.396,5.806.083.380,13425693396.0,5806083380.0
"Thuế, phí và lệ phí","Thuế, phí và lệ phí","Thuế, phí và lệ phí",6.603.231.960,2.623.320.186,6603231960.0,2623320186.0
Trích lập dự phòng,Trích lập dự phòng,Trích lập dự phòng,2.229.746.091,2.530.435.437,2229746091.0,2530435437.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,173.979.970.633,124.390.485.535,173979970633.0,124390485535.0
Chi phí bằng tiền khác,Chi phí bằng tiền khác,Chi phí bằng tiền khác,112.292.425.998,126.033.029.767,112292425998.0,126033029767.0
Phân bổ lợi thế thương mại (Thuyết minh 17),Phân bổ lợi thế thương mại (Thuyết minh 17),Phân bổ lợi thế thương mại (Thuyết minh 17),819.723.509.670,411.105.322.179,819723509670.0,411105322179.0
,,,1.197.219.171.605,727.814.339.948,1197219171605.0,727814339948.0
