row_label_raw,row_label_full,col_0,2019VND,2018VND(Trình bày lại),numeric__2019VND,numeric__2018VND(Trình bày lại)
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,,
Doanh thu chuyển nhượng bất động sản,Doanh thu bán hàng và cung cấp dịch vụ > Doanh thu chuyển nhượng bất động sản,Doanh thu chuyển nhượng bất động sản,10.131.286.857.382,15.208.973.643.057,10131286857382.0,15208973643057.0
"Doanh thu tư vấn quản lý, phát triển dự án và tư vấn bán hàng","Doanh thu bán hàng và cung cấp dịch vụ > Doanh thu tư vấn quản lý, phát triển dự án và tư vấn bán hàng","Doanh thu tư vấn quản lý, phát triển dự án và tư vấn bán hàng",686.543.413.433,270.405.836.179,686543413433.0,270405836179.0
Doanh thu cho thuê tài sản,Doanh thu bán hàng và cung cấp dịch vụ > Doanh thu cho thuê tài sản,Doanh thu cho thuê tài sản,145.750.926.845,93.784.549.745,145750926845.0,93784549745.0
Doanh thu khác,Doanh thu bán hàng và cung cấp dịch vụ > Doanh thu khác,Doanh thu khác,62.651.799.893,62.140.083.712,62651799893.0,62140083712.0
,,,11.026.232.997.553,15.635.304.112.693,11026232997553.0,15635304112693.0
Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,,
Chiết khấu thương mại,Các khoản giảm trừ > Chiết khấu thương mại,Chiết khấu thương mại,(64.977.626.473),(129.481.199.377),-64977626473.0,-129481199377.0
Giảm giá hàng bán,Các khoản giảm trừ > Giảm giá hàng bán,Giảm giá hàng bán,(1.378.181.818),-,-1378181818.0,
Hàng bán bị trả lại,Các khoản giảm trừ > Hàng bán bị trả lại,Hàng bán bị trả lại,(28.894.077.342),(215.546.180.923),-28894077342.0,-215546180923.0
,,,(95.249.885.633),(345.027.380.300),-95249885633.0,-345027380300.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,,
Doanh thu thuần chuyển nhượng bất động sản,Doanh thu thuần về bán hàng và cung cấp dịch vụ > Doanh thu thuần chuyển nhượng bất động sản,Doanh thu thuần chuyển nhượng bất động sản,10.036.036.971.749,14.863.946.262.757,10036036971749.0,14863946262757.0
"Doanh thu thuần tư vấn quản lý, phát triển dự án và tư vấn bán hàng","Doanh thu thuần về bán hàng và cung cấp dịch vụ > Doanh thu thuần tư vấn quản lý, phát triển dự án và tư vấn bán hàng","Doanh thu thuần tư vấn quản lý, phát triển dự án và tư vấn bán hàng",686.543.413.433,270.405.836.179,686543413433.0,270405836179.0
Doanh thu thuần cho thuê tài sản,Doanh thu thuần về bán hàng và cung cấp dịch vụ > Doanh thu thuần cho thuê tài sản,Doanh thu thuần cho thuê tài sản,145.750.926.845,93.784.549.745,145750926845.0,93784549745.0
Doanh thu thuần khác,Doanh thu thuần về bán hàng và cung cấp dịch vụ > Doanh thu thuần khác,Doanh thu thuần khác,62.651.799.893,62.140.083.712,62651799893.0,62140083712.0
,,,10.930.983.111.920,15.290.276.732.393,10930983111920.0,15290276732393.0
