row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư và phát triển VND,LNST chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư và phát triển VND,numeric__LNST chưa phân phối VND,numeric__Tổng cộng VND
Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,2.711.751.880.000,38.206.262.153,43.211.135.161,293.965.050.683,3.087.134.327.997,2711751880000.0,38206262153.0,43211135161.0,293965050683.0,3087134327997.0
Vốn tăng trong năm,Vốn tăng trong năm,Vốn tăng trong năm,216.940.150.000,-,-,-,216.940.150.000,216940150000.0,,,,216940150000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,230.743.655.551,230.743.655.551,,,,230743655551.0,230743655551.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,108.463.230.000,-,-,(108.463.230.000),-,108463230000.0,,,-108463230000.0,
Trà cổ tức,Trà cổ tức,Trà cổ tức,-,-,-,(108.470.075.200),(108.470.075.200),,,,-108470075200.0,-108470075200.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,(11.537.182.777),(11.537.182.777),,,,-11537182777.0,-11537182777.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,6.922.309.667,(6.922.309.667),-,,,6922309667.0,-6922309667.0,
Khác,Khác,Khác,-,(353.600.000),-,-,(353.600.000),,-353600000.0,,,-353600000.0
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,3.037.155.260.000,37.852.662.153,50.133.444.828,289.315.908.590,3.414.457.275.571,3037155260000.0,37852662153.0,50133444828.0,289315908590.0,3414457275571.0
Phát hành cổ phiếu ưu đãi trong năm (*),Phát hành cổ phiếu ưu đãi trong năm (*),Phát hành cổ phiếu ưu đãi trong năm (*),642.000.000.000,-,-,-,642.000.000.000,642000000000.0,,,,642000000000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,286.099.768.518,286.099.768.518,,,,286099768518.0,286099768518.0
Chia cổ tức bằng cổ phiếu (**),Chia cổ tức bằng cổ phiếu (**),Chia cổ tức bằng cổ phiếu (**),182.213.760.000,-,-,(182.213.760.000),-,182213760000.0,,,-182213760000.0,
"Trích quỹ khen thưởng, phúc lợi (**)","Trích quỹ khen thưởng, phúc lợi (**)","Trích quỹ khen thưởng, phúc lợi (**)",-,-,-,(17.672.969.908),(17.672.969.908),,,,-17672969908.0,-17672969908.0
Trích quỹ đầu tư phát triển (**),Trích quỹ đầu tư phát triển (**),Trích quỹ đầu tư phát triển (**),-,-,8.582.993.056,(8.582.993.056),-,,,8582993056.0,-8582993056.0,
Đầu tư mở rộng quy mô kinh doanh (***),Đầu tư mở rộng quy mô kinh doanh (***),Đầu tư mở rộng quy mô kinh doanh (***),-,-,(4.800.000.000),-,(4.800.000.000),,,-4800000000.0,,-4800000000.0
Chỉ phí phát hành cổ phiếu,Chỉ phí phát hành cổ phiếu,Chỉ phí phát hành cổ phiếu,-,(11.986.604.669),-,-,(11.986.604.669),,-11986604669.0,,,-11986604669.0
Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,3.861.369.020.000,25.866.057.484,53.916.437.884,366.945.954.144,4.308.097.469.512,3861369020000.0,25866057484.0,53916437884.0,366945954144.0,4308097469512.0
