row_label_raw,row_label_full,Bên đi vay,Số cuối năm VND,Thời hạn cho vay,Lãi suất %/năm,Hình thức đảm bảo,numeric__Số cuối năm VND,numeric__Thời hạn cho vay,numeric__Lãi suất %/năm,numeric__Hình thức đảm bảo
Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,135.327.376.270,(*),"11,5",Tín chấp,135327376270.0,,11.5,
Công ty Cổ phần Năng lượng Điện gió Tiến Giang,Công ty Cổ phần Năng lượng Điện gió Tiến Giang,Công ty Cổ phần Năng lượng Điện gió Tiến Giang,153.340.000.000,Ngày 10 tháng 1 năm 2023,10,Tín chấp,153340000000.0,,10.0,
,,,288.667.376.270,,,,288667376270.0,,,
