row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,"Phương tiệnvận tải, truyềnđảnVND",Thiết bịquản lýVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,"numeric__Phương tiệnvận tải, truyềnđảnVND",numeric__Thiết bịquản lýVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày đầu năm,Nguyên giá > Tại ngày đầu năm,Tại ngày đầu năm,1.036.320.036.076,1.734.163.212.246,191.861.809.478,36.448.277.482,28.823.711.262,3.027.617.046.544,1036320036076.0,1734163212246.0,191861809478.0,36448277482.0,28823711262.0,3027617046544.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,138.750.000,56.052.000,-,1.697.046.454,-,1.891.848.454,138750000.0,56052000.0,,1697046454.0,,1891848454.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.232.217.792),(79.090.909),(1.066.254.546),(187.395.737),-,(2.564.958.984),-1232217792.0,-79090909.0,-1066254546.0,-187395737.0,,-2564958984.0
Tại ngày cuối năm,Nguyên giá > Tại ngày cuối năm,Tại ngày cuối năm,1.035.226.568.284,1.734.140.173.337,190.795.554.932,37.957.928.199,28.823.711.262,3.026.943.936.014,1035226568284.0,1734140173337.0,190795554932.0,37957928199.0,28823711262.0,3026943936014.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,,
Tại ngày đầu năm,Khấu hao lũy kế > Tại ngày đầu năm,Tại ngày đầu năm,320.954.744.719,386.805.917.463,67.654.243.246,20.406.985.368,12.045.778.527,807.867.669.323,320954744719.0,386805917463.0,67654243246.0,20406985368.0,12045778527.0,807867669323.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,50.483.884.351,97.521.421.896,10.934.479.180,6.600.781.499,3.661.540.307,169.202.107.233,50483884351.0,97521421896.0,10934479180.0,6600781499.0,3661540307.0,169202107233.0
"Thanh lý, nhượng bán","Khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.232.217.792),(79.090.909),(716.851.266),(187.395.737),-,(2.215.555.704),-1232217792.0,-79090909.0,-716851266.0,-187395737.0,,-2215555704.0
Tại ngày cuối năm,Khấu hao lũy kế > Tại ngày cuối năm,Tại ngày cuối năm,370.206.411.278,484.248.248.450,77.871.871.160,26.820.371.130,15.707.318.834,974.854.220.852,370206411278.0,484248248450.0,77871871160.0,26820371130.0,15707318834.0,974854220852.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,715.365.291.357,1.347.357.294.783,124.207.566.232,16.041.292.114,16.777.932.735,2.219.749.377.221,715365291357.0,1347357294783.0,124207566232.0,16041292114.0,16777932735.0,2219749377221.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,665.020.157.006,1.249.891.924.887,112.923.683.772,11.137.557.069,13.116.392.428,2.052.089.715.162,665020157006.0,1249891924887.0,112923683772.0,11137557069.0,13116392428.0,2052089715162.0
