row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,col_2,Năm nay VND,Năm trước VND,numeric__Nội dung nghiệp vụ,numeric__col_2,numeric__Năm nay VND,numeric__Năm trước VND
Công ty TNHH Một thành viên Nhiệt điện Ninh Hòa,Công ty TNHH Một thành viên Nhiệt điện Ninh Hòa,Công ty TNHH Một thành viên Nhiệt điện Ninh Hòa,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,184.333.333,-,,,184333333.0,
Công ty Cổ phần Điện TTC Tây Sơn - Bình Định,Công ty Cổ phần Điện TTC Tây Sơn - Bình Định,Công ty Cổ phần Điện TTC Tây Sơn - Bình Định,,Thu hồi vốn góp,655.104.294,-,,,655104294.0,
Công ty TNHH Lữ hành Quốc Tế TTC,Công ty TNHH Lữ hành Quốc Tế TTC,Công ty TNHH Lữ hành Quốc Tế TTC,,Mua hàng hóa và dịch vụ,4.145.214.578,-,,,4145214578.0,
Công ty TNHH Kasekam Youveakchun Svay Rieng,Công ty TNHH Kasekam Youveakchun Svay Rieng,Công ty TNHH Kasekam Youveakchun Svay Rieng,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,60.000.000,-,,,60000000.0,
Công ty TNHH MTV Mía Đường Attapeu,Công ty TNHH MTV Mía Đường Attapeu,Công ty TNHH MTV Mía Đường Attapeu,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,110.000.000,-,,,110000000.0,
Chi nhánh Công ty TNHH Du Lịch TTC - TTC Resort Premium - Đốc Lét,Chi nhánh Công ty TNHH Du Lịch TTC - TTC Resort Premium - Đốc Lét,Chi nhánh Công ty TNHH Du Lịch TTC - TTC Resort Premium - Đốc Lét,,Mua hàng hóa và dịch vụ,36.817.340,-,,,36817340.0,
Công ty Cổ phần Chè Thành Ngọc,Công ty Cổ phần Chè Thành Ngọc,Công ty Cổ phần Chè Thành Ngọc,,Mua hàng hóa và dịch vụ,164.188.889,-,,,164188889.0,
