row_label_raw,row_label_full,Phải thu dài hạn khác (Thuyết minh 7(b)) > Công ty Cổ phần Thành Thành Nam > Phải trả người bán ngắn hạn (Thuyết minh 13),Số cuối năm VND > Phải thu dài hạn khác (Thuyết minh 7(b)) > 498.204.382 > Phải trả người bán ngắn hạn (Thuyết minh 13),Số đầu năm VND > Phải thu dài hạn khác (Thuyết minh 7(b)) > 498.204.382 > Phải trả người bán ngắn hạn (Thuyết minh 13),numeric__Số cuối năm VND > Phải thu dài hạn khác (Thuyết minh 7(b)) > 498.204.382 > Phải trả người bán ngắn hạn (Thuyết minh 13),numeric__Số đầu năm VND > Phải thu dài hạn khác (Thuyết minh 7(b)) > 498.204.382 > Phải trả người bán ngắn hạn (Thuyết minh 13)
Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,-,12.337.893.700,,12337893700.0
Công ty Cổ phần Du lịch Thành Thành Công,Công ty Cổ phần Du lịch Thành Thành Công,Công ty Cổ phần Du lịch Thành Thành Công,-,66.000.000,,66000000.0
,,,-,12.403.893.700,,12403893700.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,,
Công ty Cổ phần Biên Hòa - Thành Long,Người mua trả tiền trước ngắn hạn > Công ty Cổ phần Biên Hòa - Thành Long,Công ty Cổ phần Biên Hòa - Thành Long,1.000.000.000,1.000.000.000,1000000000.0,1000000000.0
Phải trả ngắn hạn khác (Thuyết minh 16),Phải trả ngắn hạn khác (Thuyết minh 16),Phải trả ngắn hạn khác (Thuyết minh 16),Phải trả ngắn hạn khác (Thuyết minh 16),Phải trả ngắn hạn khác (Thuyết minh 16),,
Công ty Cổ phần Năng lượng Tái tạo mới Số 1,Phải trả ngắn hạn khác (Thuyết minh 16) > Công ty Cổ phần Năng lượng Tái tạo mới Số 1,Công ty Cổ phần Năng lượng Tái tạo mới Số 1,-,180.000.000.000,,180000000000.0
