row_label_raw,row_label_full,Bên liên quan > Công ty Cổ phần Thành Thành Nam,Nội dung nghiệp vụ > Mua dịch vụ,Năm nay VND > 5.920.336.577,Năm trước VND > 5.279.993.372,numeric__Nội dung nghiệp vụ > Mua dịch vụ,numeric__Năm nay VND > 5.920.336.577,numeric__Năm trước VND > 5.279.993.372
Công ty Cổ phần Xuất Nhập khẩu Tân Định,Công ty Cổ phần Xuất Nhập khẩu Tân Định,Công ty Cổ phần Xuất Nhập khẩu Tân Định,Mua hàng hóa dịch vụ,1.794.713.866,781.729.998,,1794713866.0,781729998.0
Công ty Cổ phần du lịch Thành Thành Công Lâm Đồng,Công ty Cổ phần du lịch Thành Thành Công Lâm Đồng,Công ty Cổ phần du lịch Thành Thành Công Lâm Đồng,Mua hàng hóa và dịch vụ,213.074.075,220.000.000,,213074075.0,220000000.0
Công ty cổ phần Y Tế DHA,Công ty cổ phần Y Tế DHA,Công ty cổ phần Y Tế DHA,Mua hàng hóa và dịch vụ,380.570.370,-,,380570370.0,
Công ty Cổ phần Du lịch Thanh Bình,Công ty Cổ phần Du lịch Thanh Bình,Công ty Cổ phần Du lịch Thanh Bình,Mua dịch vụ,105.043.889,82.017.078,,105043889.0,82017078.0
Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Mua hàng hóa và dịch vụ,36.000.000,20.900.000,,36000000.0,20900000.0
Công ty Cổ phần Năng lượng Tái tạo Tiền Giang,Công ty Cổ phần Năng lượng Tái tạo Tiền Giang,Công ty Cổ phần Năng lượng Tái tạo Tiền Giang,Góp vốn,3.400.000.000,-,,3400000000.0,
Công ty TNHH Một thành viên Đường Biên Hòa - Ninh Hòa,Công ty TNHH Một thành viên Đường Biên Hòa - Ninh Hòa,Công ty TNHH Một thành viên Đường Biên Hòa - Ninh Hòa,Doanh thu bán hàng và cung cấp dịch vụ,9.259.259,-,,9259259.0,
