row_label_raw,row_label_full,Nội dung nghiệp vụ,Năm nay VND,Năm trước VND,numeric__Năm nay VND,numeric__Năm trước VND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,16.859.624.220,13.770.890.527,16859624220.0,13770890527.0
Nhận chuyển nhượng cổ phần,Nhận chuyển nhượng cổ phần,Nhận chuyển nhượng cổ phần,117.000.000.000,16.000.000.000,117000000000.0,16000000000.0
Cổ tức được chia,Cổ tức được chia,Cổ tức được chia,95.375.651.200,48.134.470.000,95375651200.0,48134470000.0
Lãi trả chậm,Lãi trả chậm,Lãi trả chậm,4.925.205.479,-,4925205479.0,
Chi phí chi hộ,Chi phí chi hộ,Chi phí chi hộ,1.012.660.557,828.674.723,1012660557.0,828674723.0
Mua hàng hóa dịch vụ,Mua hàng hóa dịch vụ,Mua hàng hóa dịch vụ,115.077.056,-,115077056.0,
Góp vốn,Góp vốn,Góp vốn,-,189.919.854.000,,189919854000.0
"Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ",325.363.003,47.070.303,325363003.0,47070303.0
Chi phí chi hộ,Chi phí chi hộ,Chi phí chi hộ,26.032.417,-,26032417.0,
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,2.335.895.977,1.808.161.946,2335895977.0,1808161946.0
Thu hồi cho vay,Thu hồi cho vay,Thu hồi cho vay,2.900.000.000,2.000.000.000,2900000000.0,2000000000.0
Chi phí chi hộ,Chi phí chi hộ,Chi phí chi hộ,248.949.075,212.251.099,248949075.0,212251099.0
Lãi cho vay,Lãi cho vay,Lãi cho vay,42.109.589,121.123.287,42109589.0,121123287.0
"Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ",13.291.821,17.324.404,13291821.0,17324404.0
Cho vay,Cho vay,Cho vay,-,4.900.000.000,,4900000000.0
Thu lợi nhuận,Thu lợi nhuận,Thu lợi nhuận,900.000.000,-,900000000.0,
"Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ",196.363.637,329.335.455,196363637.0,329335455.0
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,500.000,-,500000.0,
Chi phí chi hộ,Chi phí chi hộ,Chi phí chi hộ,85.633.830,92.299.063,85633830.0,92299063.0
