row_label_raw,row_label_full,Bên liên quan(Thuyết minh 31(b)),Tại ngàyđấu nămVND > Bên liên quan(Thuyết minh 31(b)),Chỉ cho vaytrong nămVND > Bên liên quan(Thuyết minh 31(b)),Chuyển từphải thu ngắn hạn khác trong nămVND > Bên liên quan(Thuyết minh 31(b)),Thu hồi nợ vaytrong nămVND > Bên liên quan(Thuyết minh 31(b)),Tại ngàycuối nămVND > Bên liên quan(Thuyết minh 31(b)),numeric__Tại ngàyđấu nămVND > Bên liên quan(Thuyết minh 31(b)),numeric__Chỉ cho vaytrong nămVND > Bên liên quan(Thuyết minh 31(b)),numeric__Chuyển từphải thu ngắn hạn khác trong nămVND > Bên liên quan(Thuyết minh 31(b)),numeric__Thu hồi nợ vaytrong nămVND > Bên liên quan(Thuyết minh 31(b)),numeric__Tại ngàycuối nămVND > Bên liên quan(Thuyết minh 31(b))
Công ty Cổ phần Thủydiện Trường Phú,Công ty Cổ phần Thủydiện Trường Phú,Công ty Cổ phần Thủydiện Trường Phú,87.175.900.000,177.000.000.000,12.151.476.270,(141.000.000.000),135.327.376.270,87175900000.0,177000000000.0,12151476270.0,-141000000000.0,135327376270.0
Công ty Cổ phần Năng lượngĐiện gió Tiền Giang,Công ty Cổ phần Năng lượngĐiện gió Tiền Giang,Công ty Cổ phần Năng lượngĐiện gió Tiền Giang,,191.340.000.000,,(38.000.000.000),153.340.000.000,,191340000000.0,,-38000000000.0,153340000000.0
Công ty TNHH MộtThành viên Thủy điệnThượng Lộ,Công ty TNHH MộtThành viên Thủy điệnThượng Lộ,Công ty TNHH MộtThành viên Thủy điệnThượng Lộ,2.900.000.000,,,(2.900.000.000),,2900000000.0,,,-2900000000.0,
,,,90.075.900.000,368.340.000.000,12.151.476.270,(181.900.000.000),288.667.376.270,90075900000.0,368340000000.0,12151476270.0,-181900000000.0,288667376270.0
