row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy tính VND,Khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Tại ngày đầu năm,Nguyên giá > Tại ngày đầu năm,Tại ngày đầu năm,4.879.098.397,5.776.150.600,216.739.184,10.871.988.181,4879098397.0,5776150600.0,216739184.0,10871988181.0
Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 11),Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 11),Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 11),3.912.000.000,3.958.451.763,-,7.870.451.763,3912000000.0,3958451763.0,,7870451763.0
Tại ngày cuối năm,Nguyên giá > Tại ngày cuối năm,Tại ngày cuối năm,8.791.098.397,9.734.602.363,216.739.184,18.742.439.944,8791098397.0,9734602363.0,216739184.0,18742439944.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,
Tại ngày đầu năm,Khấu hao lũy kế > Tại ngày đầu năm,Tại ngày đầu năm,567.597.877,3.966.858.593,191.076.736,4.725.533.206,567597877.0,3966858593.0,191076736.0,4725533206.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,129.280.658,1.738.919.705,12.838.252,1.881.038.615,129280658.0,1738919705.0,12838252.0,1881038615.0
Tại ngày cuối năm,Khấu hao lũy kế > Tại ngày cuối năm,Tại ngày cuối năm,696.878.535,5.705.778.298,203.914.988,6.606.571.821,696878535.0,5705778298.0,203914988.0,6606571821.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,4.311.500.520,1.809.292.007,25.662.448,6.146.454.975,4311500520.0,1809292007.0,25662448.0,6146454975.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,8.094.219.862,4.028.824.065,12.824.196,12.135.868.123,8094219862.0,4028824065.0,12824196.0,12135868123.0
