row_label_raw,row_label_full,col_0,Tại ngày đầu năm VND,Số phải nộp trong năm VND,Số đã thực nộp trong năm VND,Cần trừ trong năm VND,Tại ngày cuối năm VND,numeric__Tại ngày đầu năm VND,numeric__Số phải nộp trong năm VND,numeric__Số đã thực nộp trong năm VND,numeric__Cần trừ trong năm VND,numeric__Tại ngày cuối năm VND
Thuế GTGT,Thuế GTGT,Thuế GTGT,19.459.618.375,64.133.767.684,(50.204.767.857),(22.547.587.739),10.841.030.463,19459618375.0,64133767684.0,-50204767857.0,-22547587739.0,10841030463.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,4.868.358.515,19.436.286.119,(18.383.343.257),-,5.921.301.377,4868358515.0,19436286119.0,-18383343257.0,,5921301377.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,668.331.392,6.007.766.641,(5.466.720.028),-,1.209.378.005,668331392.0,6007766641.0,-5466720028.0,,1209378005.0
Thuế TNDN,Thuế TNDN,Thuế TNDN,16.872.814.191,10.675.628.488,(27.548.442.679),-,-,16872814191.0,10675628488.0,-27548442679.0,,
Các loại thuế và phí khác,Các loại thuế và phí khác,Các loại thuế và phí khác,175.291.242,8.475.342.984,(5.587.973.459),-,3.062.660.767,175291242.0,8475342984.0,-5587973459.0,,3062660767.0
,,,42.044.413.715,108.728.791.916,(107.191.247.280),(22.547.587.739),21.034.370.612,42044413715.0,108728791916.0,-107191247280.0,-22547587739.0,21034370612.0
