row_label_raw,row_label_full,Nội dung nghiệp vụ,Năm nay VND,Năm trước VND,numeric__Năm nay VND,numeric__Năm trước VND
Góp vốn,Góp vốn,Góp vốn,720.500.000.000,682.300.000.000,720500000000.0,682300000000.0
Cho vay,Cho vay,Cho vay,191.340.000.000,55.000.000.000,191340000000.0,55000000000.0
Thu hồi khoản cho vay,Thu hồi khoản cho vay,Thu hồi khoản cho vay,38.000.000.000,55.000.000.000,38000000000.0,55000000000.0
Lãi cho vay,Lãi cho vay,Lãi cho vay,3.524.376.985,281.369.862,3524376985.0,281369862.0
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,3.321.796.544,15.370.758.980,3321796544.0,15370758980.0
Chi phí chi hộ,Chi phí chi hộ,Chi phí chi hộ,388.457.319,357.458.661,388457319.0,357458661.0
Góp vốn,Góp vốn,Góp vốn,321.190.360.000,70.000.000.000,321190360000.0,70000000000.0
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,1.526.696.864,203.185.140,1526696864.0,203185140.0
Chi phí chi hộ,Chi phí chi hộ,Chi phí chi hộ,233.402.314,54.185.204,233402314.0,54185204.0
"Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ",500.000,-,500000.0,
Góp vốn,Góp vốn,Góp vốn,-,6.000.000.000,,6000000000.0
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,3.337.517.400,15.455.701.416,3337517400.0,15455701416.0
Chi phí chi hộ,Chi phí chi hộ,Chi phí chi hộ,878.003.017,357.540.502,878003017.0,357540502.0
Góp vốn,Góp vốn,Góp vốn,5.000.000.000,24.600.000.000,5000000000.0,24600000000.0
Cổ tức được chia,Cổ tức được chia,Cổ tức được chia,-,6.516.000.000,,6516000000.0
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,502.200,-,502200.0,
Chi phí chi hộ,Chi phí chi hộ,Chi phí chi hộ,193.526.957,192.456.410,193526957.0,192456410.0
Cung cấp thiết bị,Cung cấp thiết bị,Cung cấp thiết bị,7.777.125.000,-,7777125000.0,
"Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ",44.095.280.074,10.939.735.000,44095280074.0,10939735000.0
Khác,Khác,Khác,-,1.000.000,,1000000.0
