row_label_raw,row_label_full,Nội dung nghiệp vụ,Năm nay VND,Năm trước VND,numeric__Năm nay VND,numeric__Năm trước VND
Doanh thu bán điện,Doanh thu bán điện,Doanh thu bán điện,208.011.800.319,184.741.554.198,208011800319.0,184741554198.0
Chi phí chi hộ,Chi phí chi hộ,Chi phí chi hộ,85.799.925,-,85799925.0,
Mua hàng hóa và dịch vụ,Mua hàng hóa và dịch vụ,Mua hàng hóa và dịch vụ,34.606.682,443.884.269,34606682.0,443884269.0
Cho vay,Cho vay,Cho vay,189.151.476.270,126.000.000.000,189151476270.0,126000000000.0
Thu hồi khoản cho vay,Thu hồi khoản cho vay,Thu hồi khoản cho vay,141.000.000.000,108.024.497.839,141000000000.0,108024497839.0
Lãi cho vay,Lãi cho vay,Lãi cho vay,12.564.309.887,10.930.159.040,12564309887.0,10930159040.0
Mua hàng hóa và dịch vụ,Mua hàng hóa và dịch vụ,Mua hàng hóa và dịch vụ,560.700.682,-,560700682.0,
Chi phí chi hộ,Chi phí chi hộ,Chi phí chi hộ,112.943.803,-,112943803.0,
Góp vốn,Góp vốn,Góp vốn,-,93.800.000.000,,93800000000.0
Lãi phạt,Lãi phạt,Lãi phạt,-,6.714.520.547,,6714520547.0
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,-,1.510.982.633,,1510982633.0
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,66.720.000,68.705.455,66720000.0,68705455.0
