row_label_raw,row_label_full,col_0,col_1,Năm nay,Năm trước,numeric__col_1,numeric__Năm nay,numeric__Năm trước
,,,,VND,VND,,,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,,7.290.000.000,7.290.000.000,,7290000000.0,7290000000.0
Ông Trần Mạnh Hữu,Ông Trần Mạnh Hữu,Ông Trần Mạnh Hữu,Chủ tịch (bố nhiệm ngày 10 tháng 6 năm 2025),720.000.000,-,,720000000.0,
Ông Nguyễn Văn Tuấn,Ông Nguyễn Văn Tuấn,Ông Nguyễn Văn Tuấn,Chủ tịch (miễn nhiệm ngày 10 tháng 6 năm 2025),738.000.000,1.458.000.000,,738000000.0,1458000000.0
Ông Trần Ngọc Anh,Ông Trần Ngọc Anh,Ông Trần Ngọc Anh,Thành viên kiểm Phó Tổng Giám đốc,1.458.000.000,1.458.000.000,,1458000000.0,1458000000.0
Ông Nguyễn Trọng Hiền,Ông Nguyễn Trọng Hiền,Ông Nguyễn Trọng Hiền,Thành viên,1.458.000.000,1.458.000.000,,1458000000.0,1458000000.0
Ông Lê Bá Thọ,Ông Lê Bá Thọ,Ông Lê Bá Thọ,Thành viên,1.458.000.000,1.458.000.000,,1458000000.0,1458000000.0
Bà Trần Thị Minh Loan,Bà Trần Thị Minh Loan,Bà Trần Thị Minh Loan,Thành viên kiểm Phó Tổng Giám đốc,1.458.000.000,1.458.000.000,,1458000000.0,1458000000.0
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,,5.092.507.927,6.675.878.436,,5092507927.0,6675878436.0
Ông Nguyễn Anh Tuấn,Ông Nguyễn Anh Tuấn,Ông Nguyễn Anh Tuấn,Tổng Giám đốc,1.458.000.000,1.458.000.000,,1458000000.0,1458000000.0
Ông Trần Ngọc Anh,Ông Trần Ngọc Anh,Ông Trần Ngọc Anh,Phó Tổng Giám đốc,-,244.800.000,,,244800000.0
Bà Trần Thị Minh Loan,Bà Trần Thị Minh Loan,Bà Trần Thị Minh Loan,Phó Tổng Giám đốc,-,244.800.000,,,244800000.0
Ông Nguyễn Đức Luyện,Ông Nguyễn Đức Luyện,Ông Nguyễn Đức Luyện,Phó Tổng Giám đốc (bố nhiệm ngày 21 tháng 7 năm 2025),494.921.740,-,,494921740.0,
Ông Bùi Lê Cao Kế,Ông Bùi Lê Cao Kế,Ông Bùi Lê Cao Kế,Phó Tổng Giám đốc (bố nhiệm ngày 01 tháng 11 năm 2025),183.600.000,-,,183600000.0,
Ông Lương Thanh Tùng,Ông Lương Thanh Tùng,Ông Lương Thanh Tùng,Phó Tổng Giám đốc (miễn nhiệm ngày 01 tháng 11 năm 2025),1.177.080.000,1.621.800.000,,1177080000.0,1621800000.0
Ông Nguyễn Minh Khoa,Ông Nguyễn Minh Khoa,Ông Nguyễn Minh Khoa,Phó Tổng Giám đốc (miễn nhiệm ngày 01 tháng 10 năm 2025),145.271.119,317.478.369,,145271119.0,317478369.0
Ông Quách Hữu Thuận,Ông Quách Hữu Thuận,Ông Quách Hữu Thuận,Phó Tổng Giám đốc (miễn nhiệm ngày 12 tháng 12 năm 2025),1.335.644.285,985.889.530,,1335644285.0,985889530.0
Ông Nguyễn Anh Tuấn,Ông Nguyễn Anh Tuấn,Ông Nguyễn Anh Tuấn,Phó Tổng Giám đốc (miễn nhiệm ngày 01 tháng 8 năm 2024),160.650.000,900.706.364,,160650000.0,900706364.0
Ông Hoàng Kim Bồng,Ông Hoàng Kim Bồng,Ông Hoàng Kim Bồng,Phó Tổng Giám đốc (miễn nhiệm ngày 01 tháng 7 năm 2024),137.340.783,902.404.173,,137340783.0,902404173.0
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,,3.122.257.080,3.106.105.173,,3122257080.0,3106105173.0
Bà Nguyễn Thị Thẩm,Bà Nguyễn Thị Thẩm,Bà Nguyễn Thị Thẩm,Trường ban (bố nhiệm ngày 10 tháng 6 năm 2025),1.138.497.610,926.050.442,,1138497610.0,926050442.0
Ông Trần Mạnh Hữu,Ông Trần Mạnh Hữu,Ông Trần Mạnh Hữu,Trường ban (miễn nhiệm ngày 10 tháng 6 năm 2025),633.245.000,1.251.045.000,,633245000.0,1251045000.0
Bà Nguyễn Thị Cẩm Vân,Bà Nguyễn Thị Cẩm Vân,Bà Nguyễn Thị Cẩm Vân,Thành viên,933.514.469,929.009.731,,933514469.0,929009731.0
Ông Nguyễn Việt Trung,Ông Nguyễn Việt Trung,Ông Nguyễn Việt Trung,Thành viên (bố nhiệm ngày 10 tháng 6 năm 2025),417.000.001,-,,417000001.0,
,,,,15.504.765.007,17.071.983.609,,15504765007.0,17071983609.0
