row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị theo phương pháp vốn chủ sở hữu,Số cuối năm > VND Giá trị hợp lý,Số cuối năm > Giá gốc_1,Số đầu năm > Giá trị theo phương pháp vốn chủ sở hữu,Số đầu năm > VND Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị theo phương pháp vốn chủ sở hữu,numeric__Số cuối năm > VND Giá trị hợp lý,numeric__Số cuối năm > Giá gốc_1,numeric__Số đầu năm > Giá trị theo phương pháp vốn chủ sở hữu,numeric__Số đầu năm > VND Giá trị hợp lý
- Đầu tư vào công ty liên doanh,- Đầu tư vào công ty liên doanh,- Đầu tư vào công ty liên doanh,132.383.312.719,163.760.227.934,,412.967.020.560,293.919.064.439,,132383312719.0,163760227934.0,,412967020560.0,293919064439.0,
Công ty TNHH Kính nổi Việt Nam (i),Công ty TNHH Kính nổi Việt Nam (i),Công ty TNHH Kính nổi Việt Nam (i),-,-,,286.821.000.000,154.518.538.382,,,,,286821000000.0,154518538382.0,
Công ty SanVig - CTCP (i),Công ty SanVig - CTCP (i),Công ty SanVig - CTCP (i),132.383.312.719,163.760.227.934,,126.146.020.560,139.400.526.057,,132383312719.0,163760227934.0,,126146020560.0,139400526057.0,
- Đầu tư vào công ty liên kết,- Đầu tư vào công ty liên kết,- Đầu tư vào công ty liên kết,95.247.792.337,58.424.759.566,,95.247.792.337,62.954.185.369,,95247792337.0,58424759566.0,,95247792337.0,62954185369.0,
Công ty Cổ phần Gạch ngói Từ Sơn (ii),Công ty Cổ phần Gạch ngói Từ Sơn (ii),Công ty Cổ phần Gạch ngói Từ Sơn (ii),4.837.506.400,3.073.082.718,2.443.688.800,4.837.506.400,2.891.084.656,5.934.672.800,4837506400.0,3073082718.0,2443688800.0,4837506400.0,2891084656.0,5934672800.0
Công ty Cổ phần Gốm Xây dựng Yên Hưng (ii),Công ty Cổ phần Gốm Xây dựng Yên Hưng (ii),Công ty Cổ phần Gốm Xây dựng Yên Hưng (ii),2.002.000.000,-,2.860.000.000,2.002.000.000,-,4.290.000.000,2002000000.0,,2860000000.0,2002000000.0,,4290000000.0
Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera (i),Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera (i),Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera (i),21.789.858.320,22.285.775.055,,21.789.858.320,22.302.615.206,,21789858320.0,22285775055.0,,21789858320.0,22302615206.0,
Công ty Cổ phần Gạch chịu lửa Cầu Đường (i),Công ty Cổ phần Gạch chịu lửa Cầu Đường (i),Công ty Cổ phần Gạch chịu lửa Cầu Đường (i),3.482.862.617,-,,3.482.862.617,-,,3482862617.0,,,3482862617.0,,
Công ty Cổ phần Viglacera Hạ Long II (i),Công ty Cổ phần Viglacera Hạ Long II (i),Công ty Cổ phần Viglacera Hạ Long II (i),22.000.000.000,9.704.643.995,,22.000.000.000,8.247.847.363,,22000000000.0,9704643995.0,,22000000000.0,8247847363.0,
Công ty Cổ phần Viglacera Đông Triều (ii),Công ty Cổ phần Viglacera Đông Triều (ii),Công ty Cổ phần Viglacera Đông Triều (ii),40.000.000.000,23.135.072.798,22.000.000.000,40.000.000.000,28.460.050.400,19.200.000.000,40000000000.0,23135072798.0,22000000000.0,40000000000.0,28460050400.0,19200000000.0
Công ty Cổ phần Vinafacade (i),Công ty Cổ phần Vinafacade (i),Công ty Cổ phần Vinafacade (i),909.380.000,-,,909.380.000,826.402.744,,909380000.0,,,909380000.0,826402744.0,
Công ty Magno GMBH (i),Công ty Magno GMBH (i),Công ty Magno GMBH (i),226.185.000,226.185.000,,226.185.000,226.185.000,,226185000.0,226185000.0,,226185000.0,226185000.0,
,,,227.631.105.056,222.184.987.500,,508.214.812.897,356.873.249.808,,227631105056.0,222184987500.0,,508214812897.0,356873249808.0,
