row_label_raw,row_label_full,col_0,Quyền sử dụng đất,"Giá trị thương hiệu, nhân hiệu hàng hóa, bản quyền, bằng sáng chế",Phần mềm máy tính,"Chi phí đèn bù, san lắp mặt bằng",Tài sản khác,Tổng,numeric__Quyền sử dụng đất,"numeric__Giá trị thương hiệu, nhân hiệu hàng hóa, bản quyền, bằng sáng chế",numeric__Phần mềm máy tính,"numeric__Chi phí đèn bù, san lắp mặt bằng",numeric__Tài sản khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,96.539.538.295,3.305.486.937,21.167.731.230,93.259.704.164,10.256.832.834,224.529.293.460,96539538295.0,3305486937.0,21167731230.0,93259704164.0,10256832834.0,224529293460.0
Tăng do hợp nhất kinh doanh,NGUYÊN GIÁ > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,139.784.369.082,-,1.851.362.084,23.954.591.427,-,165.590.322.593,139784369082.0,,1851362084.0,23954591427.0,,165590322593.0
Xóa số,NGUYÊN GIÁ > Xóa số,Xóa số,-,-,(321.126.000),-,-,(321.126.000),,,-321126000.0,,,-321126000.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,236.323.907.377,3.305.486.937,22.697.967.314,117.214.295.591,10.256.832.834,389.798.490.053,236323907377.0,3305486937.0,22697967314.0,117214295591.0,10256832834.0,389798490053.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,22.246.449.110,1.466.332.169,11.595.243.081,24.930.027.255,3.797.223.846,64.035.275.461,22246449110.0,1466332169.0,11595243081.0,24930027255.0,3797223846.0,64035275461.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,2.968.293.219,275.457.260,1.602.789.708,2.334.499.417,531.693.778,7.712.733.382,2968293219.0,275457260.0,1602789708.0,2334499417.0,531693778.0,7712733382.0
Tăng do hợp nhất kinh doanh,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,78.202.822.157,-,1.792.645.216,23.194.859.664,-,103.190.327.037,78202822157.0,,1792645216.0,23194859664.0,,103190327037.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,-,3.852.071,(3.852.071),-,-,-,,3852071.0,-3852071.0,,,
Xóa số,GIÁ TRỊ HAO MÒN LỦY KẾ > Xóa số,Xóa số,-,-,(321.126.000),-,-,(321.126.000),,,-321126000.0,,,-321126000.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,103.417.564.486,1.745.641.500,14.665.699.934,50.459.386.336,4.328.917.624,174.617.209.880,103417564486.0,1745641500.0,14665699934.0,50459386336.0,4328917624.0,174617209880.0
GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LAI > Tại ngày đầu năm,Tại ngày đầu năm,74.293.089.185,1.839.154.768,9.572.488.149,68.329.676.909,6.459.608.988,160.494.017.999,74293089185.0,1839154768.0,9572488149.0,68329676909.0,6459608988.0,160494017999.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LAI > Tại ngày cuối năm,Tại ngày cuối năm,132.906.342.891,1.559.845.437,8.032.267.380,66.754.909.255,5.927.915.210,215.181.280.173,132906342891.0,1559845437.0,8032267380.0,66754909255.0,5927915210.0,215181280173.0
