row_label_raw,row_label_full,Ông Trần Mạnh Hữu > Ông Nguyễn Văn Tuấn,Chủ tịch (bố nhiệm ngày 10 tháng 6 năm 2025) > Chủ tịch (miễn nhiệm ngày 10 tháng 6 năm 2025),numeric__Chủ tịch (bố nhiệm ngày 10 tháng 6 năm 2025) > Chủ tịch (miễn nhiệm ngày 10 tháng 6 năm 2025)
Ông Trần Ngọc Anh,Ông Trần Ngọc Anh,Ông Trần Ngọc Anh,Thành viên,
Ông Nguyễn Trọng Hiền,Ông Nguyễn Trọng Hiền,Ông Nguyễn Trọng Hiền,Thành viên độc lập,
Ông Lê Bá Thọ,Ông Lê Bá Thọ,Ông Lê Bá Thọ,Thành viên,
Bà Trần Thị Minh Loan,Bà Trần Thị Minh Loan,Bà Trần Thị Minh Loan,Thành viên,
