row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Cổ phiếu quỹ,Chênh lệch đánh giá lại tài sản,Quỹ Đầu tư phát triển,Chênh lệch tỷ giá hối doài,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Chênh lệch đánh giá lại tài sản,numeric__Quỹ Đầu tư phát triển,numeric__Chênh lệch tỷ giá hối doài,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,-,-,1.403.242.274.945,191.211.767.352,1.594.454.042.297,,,,,,,,,1403242274945.0,191211767352.0,1594454042297.0
Trích Quỹ Đầu tư phát triển,Trích Quỹ Đầu tư phát triển,Trích Quỹ Đầu tư phát triển,-,-,-,-,-,157.817.609.124,-,-,(157.817.609.124),-,-,,,,,,157817609124.0,,,-157817609124.0,,
Trích Quỹ khen thưởng phúc lợi (i),Trích Quỹ khen thưởng phúc lợi (i),Trích Quỹ khen thưởng phúc lợi (i),-,-,-,-,-,-,-,-,(58.457.371.393),(4.518.639.677),(62.976.011.070),,,,,,,,,-58457371393.0,-4518639677.0,-62976011070.0
Trả thù lao của Người quản lý (i),Trả thù lao của Người quản lý (i),Trả thù lao của Người quản lý (i),-,-,-,-,-,-,-,-,(1.190.220.644),(1.044.779.356),(2.235.000.000),,,,,,,,,-1190220644.0,-1044779356.0,-2235000000.0
Trả cổ tức (ii),Trả cổ tức (ii),Trả cổ tức (ii),-,-,-,-,-,-,-,-,(986.370.000.000),(162.858.654.000),(1.149.228.654.000),,,,,,,,,-986370000000.0,-162858654000.0,-1149228654000.0
Góp vốn thành lập công ty,Góp vốn thành lập công ty,Góp vốn thành lập công ty,-,-,-,-,-,-,-,-,-,1.036.500.000.000,1.036.500.000.000,,,,,,,,,,1036500000000.0,1036500000000.0
Tăng vốn ở Công ty con,Tăng vốn ở Công ty con,Tăng vốn ở Công ty con,-,-,-,-,-,-,-,-,-,186.520.000.000,186.520.000.000,,,,,,,,,,186520000000.0,186520000000.0
Mua thêm lợi ích từ cổ đông không kiểm soát,Mua thêm lợi ích từ cổ đông không kiểm soát,Mua thêm lợi ích từ cổ đông không kiểm soát,-,-,-,-,-,-,-,-,(14.687.421.772),10.687.421.772,(4.000.000.000),,,,,,,,,-14687421772.0,10687421772.0,-4000000000.0
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,-,-,-,23.741.737.836,-,-,10.306.052,23.752.043.888,,,,,,,23741737836.0,,,10306052.0,23752043888.0
Khác,Khác,Khác,-,-,-,-,-,-,-,-,(1.600.847.320),(257.216.445),(1.858.063.765),,,,,,,,,-1600847320.0,-257216445.0,-1858063765.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,4.483.500.000.000,929.867.056.019,17.162.355.346,(1.713.600),(211.681.407.015),1.753.788.935.677,50.776.466.162,6.257.939.977,1.609.184.309.958,2.900.299.467.301,11.539.153.409.825,4483500000000.0,929867056019.0,17162355346.0,-1713600.0,-211681407015.0,1753788935677.0,50776466162.0,6257939977.0,1609184309958.0,2900299467301.0,11539153409825.0
