row_label_raw,row_label_full,col_0,Nhóm bất động sảnvà xây dựng,"Nhóm kinh, gưỡng","Nhóm sứ, sen vòi vàphụ kiện",Nhóm gạch ốp lát,"Nhóm gạch, ngốidất sét nung",Bộ phận khác,Tổng cộng các bộphận,numeric__Nhóm bất động sảnvà xây dựng,"numeric__Nhóm kinh, gưỡng","numeric__Nhóm sứ, sen vòi vàphụ kiện",numeric__Nhóm gạch ốp lát,"numeric__Nhóm gạch, ngốidất sét nung",numeric__Bộ phận khác,numeric__Tổng cộng các bộphận
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,4.161.192.527.614,1.741.869.957.769,826.091.052.345,3.628.069.712.806,1.184.395.434.941,364.737.256.052,11.906.355.941.527,4161192527614.0,1741869957769.0,826091052345.0,3628069712806.0,1184395434941.0,364737256052.0,11906355941527.0
Chi phí hoạt động kinh doanh,Chi phí hoạt động kinh doanh,Chi phí hoạt động kinh doanh,1.842.869.551.810,1.611.151.545.750,630.564.704.408,2.966.605.862.828,1.053.226.635.634,284.630.969.328,8.389.049.269.758,1842869551810.0,1611151545750.0,630564704408.0,2966605862828.0,1053226635634.0,284630969328.0,8389049269758.0
Kết quả hoạt động kinh doanh bộ phận,Kết quả hoạt động kinh doanh bộ phận,Kết quả hoạt động kinh doanh bộ phận,2.318.322.975.804,130.718.412.019,195.526.347.937,661.463.849.978,131.168.799.307,80.106.286.724,3.517.306.671.769,2318322975804.0,130718412019.0,195526347937.0,661463849978.0,131168799307.0,80106286724.0,3517306671769.0
Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,,,,,,,1.606.331.687.218,,,,,,,1606331687218.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,,1.910.974.984.551,,,,,,,1910974984551.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,,,28.679.759.707,,,,,,,28679759707.0
Kết quả từ hoạt động tài chính,Kết quả từ hoạt động tài chính,Kết quả từ hoạt động tài chính,,,,,,,(309.329.094.148),,,,,,,-309329094148.0
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,,,1.630.325.650.110,,,,,,,1630325650110.0
Chi phí thuế thu nhập doanh nghiệp hiện hành và hoãn lại,Chi phí thuế thu nhập doanh nghiệp hiện hành và hoãn lại,Chi phí thuế thu nhập doanh nghiệp hiện hành và hoãn lại,,,,,,,442.707.057.530,,,,,,,442707057530.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,,1.187.618.592.580,,,,,,,1187618592580.0
