row_label_raw,row_label_full,col_0,Số đầu năm,Số đầu năm_1,Trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Trong năm,numeric__Số cuối năm
,,,VND,VND,VND,VND,,,,
,,,Giá trị/Số cókhả năng trả nợ,Tăng,Giảm,Giá trị/Số cókhả năng trả nợ,,,,
Vay dài hạn,Vay dài hạn,Vay dài hạn,2.728.125.798.425,1.795.425.430.406,744.320.815.257,3.779.230.413.574,2728125798425.0,1795425430406.0,744320815257.0,3779230413574.0
Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,124.202.226.662,51.971.131.924,75.524.130.779,100.649.227.807,124202226662.0,51971131924.0,75524130779.0,100649227807.0
,,,2.852.328.025.087,1.847.396.562.330,819.844.946.036,3.879.879.641.381,2852328025087.0,1847396562330.0,819844946036.0,3879879641381.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
- Số phải trả trong vòng 12 tháng,Trong đó: > - Số phải trả trong vòng 12 tháng,- Số phải trả trong vòng 12 tháng,612.101.822.945,,,1.007.486.874.916,612101822945.0,,,1007486874916.0
- Số phải trả sau 12 tháng,Trong đó: > - Số phải trả sau 12 tháng,- Số phải trả sau 12 tháng,2.240.226.202.142,,,2.872.392.766.465,2240226202142.0,,,2872392766465.0
