row_label_raw,row_label_full,STT,Tên công ty con,Nơi thành lập và hoạt Tỷ lệ phần động,Sở hữu (%),Tỷ lệ quyền biểu quyết (%),Hoạt động chính,numeric__Tên công ty con,numeric__Nơi thành lập và hoạt Tỷ lệ phần động,numeric__Sở hữu (%),numeric__Tỷ lệ quyền biểu quyết (%),numeric__Hoạt động chính
,,,Công ty con gián tiếp (*),Công ty con gián tiếp (*),Công ty con gián tiếp (*),Công ty con gián tiếp (*),Công ty con gián tiếp (*),,,,,
1.,1.,1.,Công ty Cổ phần Việt Trì Viglacera,Phú Thọ,"92,82%","92,82%",Sản xuất và kinh doanh sử vệ sinh và phụ kiện,,,0.9281999999999999,0.9281999999999999,
2.,2.,2.,Công ty Cổ phần Sử Viglacera Thanh Trì,Hà Nội,"59,96%","59,96%",Sản xuất và kinh doanh sử vệ sinh và phụ kiện,,,0.5996,0.5996,
3.,3.,3.,Công ty Cổ phần Thương mại Viglacera,Hà Nội,"100,00%","100,00%","Kinh doanh sử vệ sinh, sen vòi và vật liệu xây dựng",,,1.0,1.0,
4.,4.,4.,Công ty TNHH MTV Thương mại Viglacera Hạ Long,Quảng Ninh,"50,48%","100,00%",Kinh doanh vật liệu xây dựng,,,0.5047999999999999,1.0,
5.,5.,5.,Công ty Cổ phần Gạch Clinker Viglacera,Quảng Ninh,"50,44%","99,92%",Sản xuất và kinh doanh vật liệu xây dựng,,,0.5044,0.9992,
6.,6.,6.,Công ty Cổ phần Kinh doanh Gạch Ốp lát Viglacera,Hà Nội,"51,02%","100,00%",Kinh doanh các sản phẩm gạch ốp lát,,,0.5102,1.0,
7.,7.,7.,Công ty TNHH MTV Lắp dựng kính Viglacera,Bắc Ninh,"86,41%","100,00%","Sản xuất, kinh doanh kính và các vật liệu thủy tinh",,,0.8641,1.0,
8.,8.,8.,Công ty Cổ phần Viglacera Can Lộc (i),Hà Tĩnh,"57,51%","100,00%",Sản xuất vật liệu xây dựng,,,0.5751,1.0,
9.,9.,9.,Công ty TNHH Thi công Hạ tầng Viglacera Yên Mỹ (ii),Hưng Yên,"60,00%","100,00%",Đầu tư xây dựng,,,0.6,1.0,
