row_label_raw,row_label_full,col_0,"Máy móc,thiết bịVND",Phương tiệnvận tảiVND,"Thiết bị,dụng cụ quản lýVND",TổngVND,"numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận tảiVND,"numeric__Thiết bị,dụng cụ quản lýVND",numeric__TổngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,318.553.627.842,16.832.646.065,202.860.000,335.589.133.907,318553627842.0,16832646065.0,202860000.0,335589133907.0
Thuê tài chính trong năm,NGUYÊN GIÁ > Thuê tài chính trong năm,Thuê tài chính trong năm,56.727.069.358,2.853.707.760,-,59.580.777.118,56727069358.0,2853707760.0,,59580777118.0
Mua lại TSCĐ thuê tài chính,NGUYÊN GIÁ > Mua lại TSCĐ thuê tài chính,Mua lại TSCĐ thuê tài chính,56.300.000,-,-,56.300.000,56300000.0,,,56300000.0
Chuyển sang TSCĐ hữu hình,NGUYÊN GIÁ > Chuyển sang TSCĐ hữu hình,Chuyển sang TSCĐ hữu hình,(102.875.669.897),(7.910.202.112),(202.860.000),(110.988.732.009),-102875669897.0,-7910202112.0,-202860000.0,-110988732009.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,272.461.327.303,11.776.151.713,-,284.237.479.016,272461327303.0,11776151713.0,,284237479016.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,112.242.394.914,6.625.442.788,141.277.500,119.009.115.202,112242394914.0,6625442788.0,141277500.0,119009115202.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,49.493.830.032,2.588.255.833,40.314.919,52.122.400.784,49493830032.0,2588255833.0,40314919.0,52122400784.0
Chuyển sang TSCĐ hữu hình,GIÁ TRỊ HAO MÒN LỦY KẾ > Chuyển sang TSCĐ hữu hình,Chuyển sang TSCĐ hữu hình,(85.607.219.344),(4.618.718.282),(181.592.419),(90.407.530.045),-85607219344.0,-4618718282.0,-181592419.0,-90407530045.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,76.129.005.602,4.594.980.339,-,80.723.985.941,76129005602.0,4594980339.0,,80723985941.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,206.311.232.928,10.207.203.277,61.582.500,216.580.018.705,206311232928.0,10207203277.0,61582500.0,216580018705.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,196.332.321.701,7.181.171.374,-,203.513.493.075,196332321701.0,7181171374.0,,203513493075.0
