row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > VND Giá trị hợp lý,Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > VND Giá trị hợp lý,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng
Công ty Cổ phần Phát triển và Kinh doanh nhà Vĩnh Phúc (i),Công ty Cổ phần Phát triển và Kinh doanh nhà Vĩnh Phúc (i),Công ty Cổ phần Phát triển và Kinh doanh nhà Vĩnh Phúc (i),1.305.017.929,(623.330.293),,1.305.017.929,(623.330.293),1305017929.0,-623330293.0,,1305017929.0,-623330293.0
Công ty Cổ phần Visaho (i),Công ty Cổ phần Visaho (i),Công ty Cổ phần Visaho (i),5.400.000.000,-,,5.400.000.000,-,5400000000.0,,,5400000000.0,
Công ty Cổ phần Cầu Xây (i),Công ty Cổ phần Cầu Xây (i),Công ty Cổ phần Cầu Xây (i),1.184.497.242,-,,1.184.497.242,-,1184497242.0,,,1184497242.0,
Công ty Cổ phần Tư vấn xây dựng Viglacera Land (i),Công ty Cổ phần Tư vấn xây dựng Viglacera Land (i),Công ty Cổ phần Tư vấn xây dựng Viglacera Land (i),353.167.173,(183.489),,353.167.173,(183.489),353167173.0,-183489.0,,353167173.0,-183489.0
Công ty Cổ phần Giấy Tây Đô (i),Công ty Cổ phần Giấy Tây Đô (i),Công ty Cổ phần Giấy Tây Đô (i),590.000.000,(590.000.000),,590.000.000,(590.000.000),590000000.0,-590000000.0,,590000000.0,-590000000.0
Công ty Cổ phần Viglacera Delta (i),Công ty Cổ phần Viglacera Delta (i),Công ty Cổ phần Viglacera Delta (i),500.000.000,(500.000.000),,500.000.000,-,500000000.0,-500000000.0,,500000000.0,
,,,9.332.682.344,(1.713.513.782),,9.332.682.344,(1.213.513.782),9332682344.0,-1713513782.0,,9332682344.0,-1213513782.0
