row_label_raw,row_label_full,col_0,Nhóm bất động sảnvà xây dựng,"Nhóm kính, giường","Nhóm sử, sen vòivà phụ kiện",Nhóm gạch ốp lát,"Nhóm gạch, ngốidất sét nung",Bộ phận khác,Loại trừ nội bộ,Tổng cộngcác bộ phận,numeric__Nhóm bất động sảnvà xây dựng,"numeric__Nhóm kính, giường","numeric__Nhóm sử, sen vòivà phụ kiện",numeric__Nhóm gạch ốp lát,"numeric__Nhóm gạch, ngốidất sét nung",numeric__Bộ phận khác,numeric__Loại trừ nội bộ,numeric__Tổng cộngcác bộ phận
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,22.037.954.535.301,3.351.951.429.840,1.405.876.914.336,3.482.257.600.435,740.818.287.710,137.512.398.492,(6.705.669.467.900),24.450.701.698.214376.717.229.924,22037954535301.0,3351951429840.0,1405876914336.0,3482257600435.0,740818287710.0,137512398492.0,-6705669467900.0,2.445070169821438e+25
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,,,,,,,,,,
Tổng tài sản,Tài sản không phân bổ > Tổng tài sản,Tổng tài sản,22.037.954.535.301,3.351.951.429.840,1.405.876.914.336,3.482.257.600.435,740.818.287.710,137.512.398.492,(6.705.669.467.900),24.827.418.928.138,22037954535301.0,3351951429840.0,1405876914336.0,3482257600435.0,740818287710.0,137512398492.0,-6705669467900.0,24827418928138.0
Nợ phải trả của các bộ phận,Tài sản không phân bổ > Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,(14.898.607.325.715),(2.409.269.810.117),(1.226.283.621.914),(2.732.959.709.705),(366.900.222.908),(81.828.010.472),7.028.745.845.505,(14.687.102.855.326)(187.316.417.409),-14898607325715.0,-2409269810117.0,-1226283621914.0,-2732959709705.0,-366900222908.0,-81828010472.0,7028745845505.0,
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,,,,,,,,,,,
Tổng nợ phải trả,Nợ phải trả không phân bổ > Tổng nợ phải trả,Tổng nợ phải trả,(14.898.607.325.715),(2.409.269.810.117),(1.226.283.621.914),(2.732.959.709.705),(366.900.222.908),(81.828.010.472),7.028.745.845.505,(14.874.419.272.735),-14898607325715.0,-2409269810117.0,-1226283621914.0,-2732959709705.0,-366900222908.0,-81828010472.0,7028745845505.0,-14874419272735.0
