row_label_raw,row_label_full,Thông tin lưu chuyển tiền tệ từ việc mua hợp nhất công ty con,Thông tin lưu chuyển tiền tệ từ việc mua hợp nhất công ty con_1,numeric__Thông tin lưu chuyển tiền tệ từ việc mua hợp nhất công ty con_1
Tiền thu về từ công ty con,Tiền thu về từ công ty con,Tiền thu về từ công ty con,134.152.241.257,134152241257.0
Tiền chỉ mua ông ty con,Tiền chỉ mua ông ty con,Tiền chỉ mua ông ty con,(310.589.000.000),-310589000000.0
Lưu chuyển tiền thuần từ nghiệp vụ mua công ty con,Lưu chuyển tiền thuần từ nghiệp vụ mua công ty con,Lưu chuyển tiền thuần từ nghiệp vụ mua công ty con,(176.436.758.743),-176436758743.0
