row_label_raw,row_label_full,col_0,Số dư đầu nămVND,Góp thêm vốn trong nămVND,"Phân lãi/(lỗ)công ty liên doanh, liên kếtVND",Chuyển thành công ty conVND,Phân phối quỹ và điều chỉnh khácVND,Chênh lệch tỷ giá hối đoái do chuyển đối báo cáo bằng ngoại tệVND,Số dư cuối nămVND,numeric__Số dư đầu nămVND,numeric__Góp thêm vốn trong nămVND,"numeric__Phân lãi/(lỗ)công ty liên doanh, liên kếtVND",numeric__Chuyển thành công ty conVND,numeric__Phân phối quỹ và điều chỉnh khácVND,numeric__Chênh lệch tỷ giá hối đoái do chuyển đối báo cáo bằng ngoại tệVND,numeric__Số dư cuối nămVND
- Đầu tư vào công ty liên doanh,- Đầu tư vào công ty liên doanh,- Đầu tư vào công ty liên doanh,- Đầu tư vào công ty liên doanh,- Đầu tư vào công ty liên doanh,- Đầu tư vào công ty liên doanh,- Đầu tư vào công ty liên doanh,- Đầu tư vào công ty liên doanh,- Đầu tư vào công ty liên doanh,- Đầu tư vào công ty liên doanh,,,,,,,
Công ty TNHH Kính nổi Việt Nam,- Đầu tư vào công ty liên doanh > Công ty TNHH Kính nổi Việt Nam,Công ty TNHH Kính nổi Việt Nam,154.518.538.382,-,(12.992.277.476),(141.526.260.906),-,-,-,154518538382.0,,-12992277476.0,-141526260906.0,,,
Công ty SanVig - CTCP,- Đầu tư vào công ty liên doanh > Công ty SanVig - CTCP,Công ty SanVig - CTCP,139.400.526.057,6.237.292.160,9.489.161.010,-,(2.521.446.071),11.154.694.778,163.760.227.934,139400526057.0,6237292160.0,9489161010.0,,-2521446071.0,11154694778.0,163760227934.0
- Đầu tư vào công ty liên kết,- Đầu tư vào công ty liên kết,- Đầu tư vào công ty liên kết,- Đầu tư vào công ty liên kết,- Đầu tư vào công ty liên kết,- Đầu tư vào công ty liên kết,- Đầu tư vào công ty liên kết,- Đầu tư vào công ty liên kết,- Đầu tư vào công ty liên kết,- Đầu tư vào công ty liên kết,,,,,,,
Công ty Cổ phần Gạch ngói Tư Sơn,- Đầu tư vào công ty liên kết > Công ty Cổ phần Gạch ngói Tư Sơn,Công ty Cổ phần Gạch ngói Tư Sơn,2.891.084.656,-,181.998.062,-,-,-,3.073.082.718,2891084656.0,,181998062.0,,,,3073082718.0
Công ty Cổ phần Gốm Xây dựng Yên Hưng,Công ty Cổ phần Gốm Xây dựng Yên Hưng,Công ty Cổ phần Gốm Xây dựng Yên Hưng,-,-,-,-,-,-,-,,,,,,,
Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Công ty Cổ phần Gốm Xây dựng Yên Hưng > Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,22.302.615.206,-,376.808.781,-,(393.648.932),-,22.285.775.055,22302615206.0,,376808781.0,,-393648932.0,,22285775055.0
Công ty Cổ phần Gạch chịu lửa Cầu Đường,Công ty Cổ phần Gạch chịu lửa Cầu Đường,Công ty Cổ phần Gạch chịu lửa Cầu Đường,-,-,-,-,-,-,-,,,,,,,
Công ty Cổ phần Viglacera Hạ Long ll,Công ty Cổ phần Gạch chịu lửa Cầu Đường > Công ty Cổ phần Viglacera Hạ Long ll,Công ty Cổ phần Viglacera Hạ Long ll,8.247.847.363,-,1.456.796.632,-,-,-,9.704.643.995,8247847363.0,,1456796632.0,,,,9704643995.0
Công ty Cổ phần Viglacera Đông Trièreu,Công ty Cổ phần Gạch chịu lửa Cầu Đường > Công ty Cổ phần Viglacera Đông Trièreu,Công ty Cổ phần Viglacera Đông Trièreu,28.460.050.400,-,(5.324.977.602),-,-,-,23.135.072.798,28460050400.0,,-5324977602.0,,,,23135072798.0
Công ty Cổ phần Vinafacade,Công ty Cổ phần Gạch chịu lửa Cầu Đường > Công ty Cổ phần Vinafacade,Công ty Cổ phần Vinafacade,826.402.744,-,(826.402.744),-,-,-,-,826402744.0,,-826402744.0,,,,
Công ty Magno GMBH,Công ty Cổ phần Gạch chịu lửa Cầu Đường > Công ty Magno GMBH,Công ty Magno GMBH,226.185.000,-,-,-,-,-,226.185.000,226185000.0,,,,,,226185000.0
,,,356.873.249.808,6.237.292.160,(7.638.893.337),(141.526.260.906),(2.915.095.003),11.154.694.778,222.184.987.500,356873249808.0,6237292160.0,-7638893337.0,-141526260906.0,-2915095003.0,11154694778.0,222184987500.0
