row_label_raw,row_label_full,col_0,Nhà xuốngvà vật kiến trúc,Máy mócvà thiết bị,Phương tiệnvận tải,"Thiết bị,dụng cụ quản lý",Tài sản khác,Tổng,numeric__Nhà xuốngvà vật kiến trúc,numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận tải,"numeric__Thiết bị,dụng cụ quản lý",numeric__Tài sản khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,5.657.518.978.833,7.188.237.472.840,330.555.039.869,82.825.800.311,12.932.999.531,13.272.070.291.384,5657518978833.0,7188237472840.0,330555039869.0,82825800311.0,12932999531.0,13272070291384.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,475.600.000,18.228.301.289,1.754.799.630,388.324.009,-,20.847.024.928,475600000.0,18228301289.0,1754799630.0,388324009.0,,20847024928.0
Đầu tư xây dựng cơ bán hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bán hoàn thành,Đầu tư xây dựng cơ bán hoàn thành,54.773.240.238,118.668.595.741,-,-,-,173.441.835.979,54773240238.0,118668595741.0,,,,173441835979.0
Tăng do hợp nhất kinh doanh,NGUYÊN GIÁ > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,310.741.946.555,1.269.908.028.669,-,1.354.777.713,-,1.582.004.752.937,310741946555.0,1269908028669.0,,1354777713.0,,1582004752937.0
Tăng từ TSCĐ thuê tài chính,NGUYÊN GIÁ > Tăng từ TSCĐ thuê tài chính,Tăng từ TSCĐ thuê tài chính,-,102.875.669.897,7.910.202.112,202.860.000,-,110.988.732.009,,102875669897.0,7910202112.0,202860000.0,,110988732009.0
Tăng từ bất động sản đầu tư,NGUYÊN GIÁ > Tăng từ bất động sản đầu tư,Tăng từ bất động sản đầu tư,84.837.268.295,-,-,-,-,84.837.268.295,84837268295.0,,,,,84837268295.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,-,(1.698.910.941),1.698.910.941,-,-,-,,-1698910941.0,1698910941.0,,,
Giám do quyết toán,NGUYÊN GIÁ > Giám do quyết toán,Giám do quyết toán,(13.413.488.426),-,-,-,-,(13.413.488.426),-13413488426.0,,,,,-13413488426.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(11.802.732.513),(81.460.274.420),(7.516.655.563),(1.394.805.798),-,(102.174.468.294),-11802732513.0,-81460274420.0,-7516655563.0,-1394805798.0,,-102174468294.0
Chênh lệch chuyển đổi BCTC,NGUYÊN GIÁ > Chênh lệch chuyển đổi BCTC,Chênh lệch chuyển đổi BCTC,-,1.630.433.506,518.500.882,-,1.156.400,2.150.090.788,,1630433506.0,518500882.0,,1156400.0,2150090788.0
(Giám) khác,NGUYÊN GIÁ > (Giám) khác,(Giám) khác,(402.965.704),(5.444.680.732),-,-,-,(5.847.646.436),-402965704.0,-5444680732.0,,,,-5847646436.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,6.082.727.847.278,8.610.944.635.849,334.920.797.871,83.376.956.235,12.934.155.931,15.124.904.393.164,6082727847278.0,8610944635849.0,334920797871.0,83376956235.0,12934155931.0,15124904393164.0
