row_label_raw,row_label_full,col_0,Số đầu năm,Số đầu năm_1,Trong năm,Trong năm_1,Số cuối năm,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Trong năm,numeric__Trong năm_1,numeric__Số cuối năm
,,,VND,VND,VND,VND,VND,,,,,
,,,Giá trị/Số có khả năng trả nợ,Tăng do hợp nhất kinh doanh,Tăng,Giảm,Giá trị/Số có khả năng trả nợ,,,,,
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,1.959.869.044.042,30.000.000.000,7.747.439.630.892,8.031.790.644.407,1.705.518.030.527,1959869044042.0,30000000000.0,7747439630892.0,8031790644407.0,1705518030527.0
Vay và nợ thuê tài chính dài hạn đến hạn trả (xem Thuyết minh số 26),Vay và nợ thuê tài chính dài hạn đến hạn trả (xem Thuyết minh số 26),Vay và nợ thuê tài chính dài hạn đến hạn trả (xem Thuyết minh số 26),612.101.822.945,-,1.152.817.514.266,757.432.462.295,1.007.486.874.916,612101822945.0,,1152817514266.0,757432462295.0,1007486874916.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,549.324.033.145,-,1.095.217.840.577,689.252.033.146,955.289.840.576,549324033145.0,,1095217840577.0,689252033146.0,955289840576.0
Nợ thuê tài chính dài hạn đến hạn trả,Trong đó: > Nợ thuê tài chính dài hạn đến hạn trả,Nợ thuê tài chính dài hạn đến hạn trả,62.777.789.800,-,57.599.673.689,68.180.429.149,52.197.034.340,62777789800.0,,57599673689.0,68180429149.0,52197034340.0
,,,2.571.970.866.987,30.000.000.000,8.900.257.145.158,8.789.223.106.702,2.713.004.905.443,2571970866987.0,30000000000.0,8900257145158.0,8789223106702.0,2713004905443.0
