row_label_raw,row_label_full,col_0,Nhóm bất động sản và xây dựng,"Nhóm kính, gưỡng","Nhóm sứ, sen vòi và phụ kiện",Nhóm gạch ốp lát,"Nhóm gạch, ngói đất sét nung",Bộ phận khác,Tổng cộng các bộ phận,numeric__Nhóm bất động sản và xây dựng,"numeric__Nhóm kính, gưỡng","numeric__Nhóm sứ, sen vòi và phụ kiện",numeric__Nhóm gạch ốp lát,"numeric__Nhóm gạch, ngói đất sét nung",numeric__Bộ phận khác,numeric__Tổng cộng các bộ phận
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,4.652.556.097.151,2.070.806.883.813,1.091.085.370.429,3.930.460.183.116,1.158.419.716.923,411.429.564.164,13.314.757.815.595,4652556097151.0,2070806883813.0,1091085370429.0,3930460183116.0,1158419716923.0,411429564164.0,13314757815595.0
Chi phí hoạt động kinh doanh,Chi phí hoạt động kinh doanh,Chi phí hoạt động kinh doanh,2.222.576.006.332,1.905.500.321.158,739.169.743.379,3.184.641.555.907,963.740.681.226,299.745.852.825,9.315.374.160.827,2222576006332.0,1905500321158.0,739169743379.0,3184641555907.0,963740681226.0,299745852825.0,9315374160827.0
Kết quả hoạt động kinh doanh bộ phận,Kết quả hoạt động kinh doanh bộ phận,Kết quả hoạt động kinh doanh bộ phận,2.429.980.090.819,165.306.562.655,351.915.627.050,745.818.627.209,194.679.035.697,111.683.711.339,3.999.383.654.768,2429980090819.0,165306562655.0,351915627050.0,745818627209.0,194679035697.0,111683711339.0,3999383654768.0
Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,,,,,,,1.705.388.066.816,,,,,,,1705388066816.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,,2.293.995.587.952,,,,,,,2293995587952.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,,,88.667.344.997,,,,,,,88667344997.0
Kết quả từ hoạt động tài chính,Kết quả từ hoạt động tài chính,Kết quả từ hoạt động tài chính,,,,,,,(180.824.243.289),,,,,,,-180824243289.0
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,,,2.201.838.689.660,,,,,,,2201838689660.0
Chi phí thuế thu nhập doanh nghiệp hiện hành và hoãn lại,Chi phí thuế thu nhập doanh nghiệp hiện hành và hoãn lại,Chi phí thuế thu nhập doanh nghiệp hiện hành và hoãn lại,,,,,,,607.384.647.363,,,,,,,607384647363.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,,1.594.454.042.297,,,,,,,1594454042297.0
