row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Chương trình phần mềm,TSCĐ VH khác,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Chương trình phần mềm,numeric__TSCĐ VH khác,numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,59.010.019.252,8.770.218.984,2.237.943.087,70.018.181.323,59010019252.0,8770218984.0,2237943087.0,70018181323.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,169.000.000,123.920.000,292.920.000,,169000000.0,123920000.0,292920000.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,59.010.019.252,8.939.218.984,2.361.863.087,70.311.101.323,59010019252.0,8939218984.0,2361863087.0,70311101323.0
Hao mòn luỹ kế,Hao mòn luỹ kế,Hao mòn luỹ kế,Hao mòn luỹ kế,Hao mòn luỹ kế,Hao mòn luỹ kế,Hao mòn luỹ kế,,,,
Số đầu năm,Hao mòn luỹ kế > Số đầu năm,Số đầu năm,6.879.812.313,7.962.282.313,2.237.943.087,17.080.037.713,6879812313.0,7962282313.0,2237943087.0,17080037713.0
Khấu hao,Hao mòn luỹ kế > Khấu hao,Khấu hao,1.401.324.134,220.586.557,18.321.504,1.640.232.195,1401324134.0,220586557.0,18321504.0,1640232195.0
Số cuối năm,Hao mòn luỹ kế > Số cuối năm,Số cuối năm,8.281.136.447,8.182.868.870,2.256.264.591,18.720.269.908,8281136447.0,8182868870.0,2256264591.0,18720269908.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,52.130.206.939,807.936.671,-,52.938.143.610,52130206939.0,807936671.0,,52938143610.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,50.728.882.805,756.350.114,105.598.496,51.590.831.415,50728882805.0,756350114.0,105598496.0,51590831415.0
