row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp /Sốbù trừ với nghĩavụ nộp thuế,Số đã nộp trongnăm,Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp /Sốbù trừ với nghĩavụ nộp thuế,numeric__Số đã nộp trongnăm,numeric__Số cuối năm
Thuế GTGT,Thuế GTGT,Thuế GTGT,11.671.198.227,1.571.198.227,23.097.360.965,33.197.360.965,11671198227.0,1571198227.0,23097360965.0,33197360965.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,12.222.207.614,-,2.539.202.527,14.761.410.141,12222207614.0,,2539202527.0,14761410141.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,890.437.818,175.827.866,91.676.375,806.286.327,890437818.0,175827866.0,91676375.0,806286327.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,-,-,1.489.306.969,1.489.306.969,,,1489306969.0,1489306969.0
Thuế đất và tiền thuê đất,Thuế đất và tiền thuê đất,Thuế đất và tiền thuê đất,1.447.101.196,1.447.101.196,-,-,1447101196.0,1447101196.0,,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,815.755.367,426.402.550,-,389.352.817,815755367.0,426402550.0,,389352817.0
Cộng,Cộng,Cộng,27.046.700.222,3.620.529.839,27.217.546.836,50.643.717.219,27046700222.0,3620529839.0,27217546836.0,50643717219.0
