row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,6.827.674.750.000,(45.000.000),71.410.425.647,1.098.678.182.174,7.997.718.357.821,6827674750000.0,-45000000.0,71410425647.0,1098678182174.0,7997718357821.0
Tăng vốn trong năm trước,Tăng vốn trong năm trước,Tăng vốn trong năm trước,-,-,-,-,-,,,,,
Lãi/lỗ trong năm trước,Tăng vốn trong năm trước > Lãi/lỗ trong năm trước,Lãi/lỗ trong năm trước,-,-,-,550.828.920.495,550.828.920.495,,,,550828920495.0,550828920495.0
Phân phối lợi nhuận,Tăng vốn trong năm trước > Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,232.878.298.996,(652.029.701.677),(419.151.402.681),,,232878298996.0,-652029701677.0,-419151402681.0
Số dư cuối năm trước,Tăng vốn trong năm trước > Số dư cuối năm trước,Số dư cuối năm trước,6.827.674.750.000,(45.000.000),304.288.724.643,997.477.400.992,8.129.395.875.635,6827674750000.0,-45000000.0,304288724643.0,997477400992.0,8129395875635.0
Số dư đầu năm nay,Tăng vốn trong năm trước > Số dư đầu năm nay,Số dư đầu năm nay,6.827.674.750.000,(45.000.000),304.288.724.643,997.477.400.992,8.129.395.875.635,6827674750000.0,-45000000.0,304288724643.0,997477400992.0,8129395875635.0
Tăng vốn trong năm nay,Tăng vốn trong năm nay,Tăng vốn trong năm nay,-,-,-,-,-,,,,,
Lãi/lỗ trong năm nay,Tăng vốn trong năm nay > Lãi/lỗ trong năm nay,Lãi/lỗ trong năm nay,-,-,-,702.928.056.681,702.928.056.681,,,,702928056681.0,702928056681.0
Phân phối lợi nhuận (*),Tăng vốn trong năm nay > Phân phối lợi nhuận (*),Phân phối lợi nhuận (*),-,-,164.384.884.119,(484.424.389.119),(320.039.505.000),,,164384884119.0,-484424389119.0,-320039505000.0
Số dư cuối năm nay,Tăng vốn trong năm nay > Số dư cuối năm nay,Số dư cuối năm nay,6.827.674.750.000,(45.000.000),468.673.608.762,1.215.981.068.554,8.512.284.427.316,6827674750000.0,-45000000.0,468673608762.0,1215981068554.0,8512284427316.0
