row_label_raw,row_label_full,col_0,Số năm nay,Số năm trước,numeric__Số năm nay,numeric__Số năm trước
Lợi nhuận/(lỗ) thuần trước thuế,Lợi nhuận/(lỗ) thuần trước thuế,Lợi nhuận/(lỗ) thuần trước thuế,762.557.487.255,627.048.757.189,762557487255.0,627048757189.0
Các điều chỉnh tăng/(giảm) lợi nhuận/(lỗ) theo kế toán,Các điều chỉnh tăng/(giảm) lợi nhuận/(lỗ) theo kế toán,Các điều chỉnh tăng/(giảm) lợi nhuận/(lỗ) theo kế toán,(180.433.609.062),(37.446.373.225),-180433609062.0,-37446373225.0
Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,17.176.187.438,148.014.671.525,17176187438.0,148014671525.0
Chi phí không được trừ,Chi phí không được trừ,Chi phí không được trừ,17.176.187.438,148.014.671.525,17176187438.0,148014671525.0
Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,(197.609.796.500),(185.461.044.750),-197609796500.0,-185461044750.0
Có tức lợi nhuận được chia,Có tức lợi nhuận được chia,Có tức lợi nhuận được chia,(197.609.796.500),(185.461.044.750),-197609796500.0,-185461044750.0
Lợi nhuận/(lỗ) điều chỉnh trước thuế chưa trừ lỗ năm trước,Lợi nhuận/(lỗ) điều chỉnh trước thuế chưa trừ lỗ năm trước,Lợi nhuận/(lỗ) điều chỉnh trước thuế chưa trừ lỗ năm trước,582.123.878.193,589.602.383.964,582123878193.0,589602383964.0
Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,-,-,,
Thu nhập tính thuế,Lỗ năm trước chuyển sang > Thu nhập tính thuế,Thu nhập tính thuế,582.123.878.193,589.602.383.964,582123878193.0,589602383964.0
Thuế suất thuế TNDN hiện hành,Lỗ năm trước chuyển sang > Thuế suất thuế TNDN hiện hành,Thuế suất thuế TNDN hiện hành,20%,20%,0.2,0.2
Thuế TNDN phải nộp,Lỗ năm trước chuyển sang > Thuế TNDN phải nộp,Thuế TNDN phải nộp,116.424.775.639,117.920.476.793,116424775639.0,117920476793.0
Thuế TNDN được miễn giảm (*),Lỗ năm trước chuyển sang > Thuế TNDN được miễn giảm (*),Thuế TNDN được miễn giảm (*),(57.085.589.775),(41.700.640.102),-57085589775.0,-41700640102.0
Lãi thuế TNDN do hoàn nhập quỹ khoa học phát triển công nghệ sử dụng không hết,Lỗ năm trước chuyển sang > Lãi thuế TNDN do hoàn nhập quỹ khoa học phát triển công nghệ sử dụng không hết,Lãi thuế TNDN do hoàn nhập quỹ khoa học phát triển công nghệ sử dụng không hết,190.203.510,-,190203510.0,
Thuế TNDN hiện hành,Lỗ năm trước chuyển sang > Thuế TNDN hiện hành,Thuế TNDN hiện hành,59.529.389.374,76.219.836.691,59529389374.0,76219836691.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Thuế TNDN phải nộp cho hoạt động sản xuất kinh doanh,Trong đó: > Thuế TNDN phải nộp cho hoạt động sản xuất kinh doanh,Thuế TNDN phải nộp cho hoạt động sản xuất kinh doanh,57.085.589.774,76.219.836.691,57085589774.0,76219836691.0
Thuế TNDN do hoàn nhập quỹ phát triển khoa học và công nghệ sử dụng không hết,Trong đó: > Thuế TNDN do hoàn nhập quỹ phát triển khoa học và công nghệ sử dụng không hết,Thuế TNDN do hoàn nhập quỹ phát triển khoa học và công nghệ sử dụng không hết,2.443.799.600,-,2443799600.0,
Cộng,Trong đó: > Cộng,Cộng,59.529.389.374,76.219.836.691,59529389374.0,76219836691.0
