row_label_raw,row_label_full,Họ tên bên liên quan,Các khoản thu nhập,Giá trị giao dịch > Số năm nay,Giá trị giao dịch > Số năm trước,numeric__Các khoản thu nhập,numeric__Giá trị giao dịch > Số năm nay,numeric__Giá trị giao dịch > Số năm trước
Ông Ngô Thế Phiệt,Ông Ngô Thế Phiệt,Ông Ngô Thế Phiệt,"Lương, thường và các khoản phụ cấp",23.444.900,-,,23444900.0,
Ngô Trí Thịnh,Ngô Trí Thịnh,Ngô Trí Thịnh,"Lương, thường và các khoản phụ cấp, thù lao",980.635.766,805.300.000,,980635766.0,805300000.0
Nguyễn Đức Pha (*),Nguyễn Đức Pha (*),Nguyễn Đức Pha (*),"Lương, thường, phụ cấp, thù lao",622.020.187,663.100.000,,622020187.0,663100000.0
Nguyễn Đức Thảo,Nguyễn Đức Thảo,Nguyễn Đức Thảo,Thù lao,336.706.011,486.000.000,,336706011.0,486000000.0
Nguyễn Trung Thực,Nguyễn Trung Thực,Nguyễn Trung Thực,"Lương, thường và các khoản phụ cấp, thù lao",887.661.446,731.900.000,,887661446.0,731900000.0
Phạm Xuân Phong (*),Phạm Xuân Phong (*),Phạm Xuân Phong (*),"Lương, thường và các khoản phụ cấp",372.103.632,726.905.000,,372103632.0,726905000.0
Bùi Minh Tân,Bùi Minh Tân,Bùi Minh Tân,"Lương, thường và các khoản phụ cấp",836.018.415,675.582.031,,836018415.0,675582031.0
Nghiêm Xuân Chiến,Nghiêm Xuân Chiến,Nghiêm Xuân Chiến,"Lương, thường và các khoản phụ cấp",905.851.446,718.608.400,,905851446.0,718608400.0
Đoàn Xuân Hiệu (*),Đoàn Xuân Hiệu (*),Đoàn Xuân Hiệu (*),"Lương, thường và các khoản phụ cấp",482.785.817,689.124.000,,482785817.0,689124000.0
Đặng Quốc Long (*),Đặng Quốc Long (*),Đặng Quốc Long (*),"Lương, thường và các khoản phụ cấp",408.982.516,-,,408982516.0,
Lê Ngọc Nam,Lê Ngọc Nam,Lê Ngọc Nam,"Lương, thường, phụ cấp, thù lao",849.705.886,696.951.600,,849705886.0,696951600.0
Đào Thị Hoàng Yến,Đào Thị Hoàng Yến,Đào Thị Hoàng Yến,"Lương, thường, phụ cấp, thù lao",537.624.570,541.911.745,,537624570.0,541911745.0
Bùi Thu Thái,Bùi Thu Thái,Bùi Thu Thái,"Lương, thường, phụ cấp, thù lao",640.659.505,523.501.071,,640659505.0,523501071.0
Lưu Thị Minh Thanh,Lưu Thị Minh Thanh,Lưu Thị Minh Thanh,Kế toán trường,779.389.903,615.942.463,,779389903.0,615942463.0
Cộng,Cộng,Cộng,,8.663.590.001,7.874.826.310,,8663590001.0,7874826310.0
