row_label_raw,row_label_full,col_0,col_1,Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ,Phát sinh trong năm > Tăng,Phát sinh trong năm > Giảm,Số cuối năm > Giá trị đồng thời là số có khả năng trả nợ,numeric__col_1,numeric__Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ,numeric__Phát sinh trong năm > Tăng,numeric__Phát sinh trong năm > Giảm,numeric__Số cuối năm > Giá trị đồng thời là số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,2.935.279.026.810,9.391.878.919.331,9.492.278.193.475,2.834.879.752.666,,2935279026810.0,9391878919331.0,9492278193475.0,2834879752666.0
Vay ngân hàng ngắn hạn,Vay ngân hàng ngắn hạn,Vay ngân hàng ngắn hạn,[1],1.550.000.000.000,8.237.000.000.000,8.107.000.000.000,1.680.000.000.000,,1550000000000.0,8237000000000.0,8107000000000.0,1680000000000.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,,1.385.279.026.810,1.154.878.919.331,1.385.278.193.475,1.154.879.752.666,,1385279026810.0,1154878919331.0,1385278193475.0,1154879752666.0
Vay ngân hàng đến hạn trả,Vay ngân hàng đến hạn trả,Vay ngân hàng đến hạn trả,[2],850.381.477.544,846.358.771.331,850.380.644.209,846.359.604.666,,850381477544.0,846358771331.0,850380644209.0,846359604666.0
Vay các bên liên quan đến hạn trả,Vay các bên liên quan đến hạn trả,Vay các bên liên quan đến hạn trả,[3],464.897.549.266,223.520.148.000,464.897.549.266,223.520.148.000,,464897549266.0,223520148000.0,464897549266.0,223520148000.0
Trái phiếu,Trái phiếu,Trái phiếu,[4],70.000.000.000,85.000.000.000,70.000.000.000,85.000.000.000,,70000000000.0,85000000000.0,70000000000.0,85000000000.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,,1.582.104.364.779,119.816.727.126,1.210.385.849.629,491.535.242.276,,1582104364779.0,119816727126.0,1210385849629.0,491535242276.0
Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,[2],1.069.852.044.779,100.028.751.126,901.865.701.629,268.015.094.276,,1069852044779.0,100028751126.0,901865701629.0,268015094276.0
Vay các bên liên quan,Vay các bên liên quan,Vay các bên liên quan,[3],427.252.320.000,19.787.976.000,223.520.148.000,223.520.148.000,,427252320000.0,19787976000.0,223520148000.0,223520148000.0
Trái phiếu,Trái phiếu,Trái phiếu,[4],85.000.000.000,-,85.000.000.000,-,,85000000000.0,,85000000000.0,
Cộng,Cộng,Cộng,,4.517.383.391.589,9.511.695.646.457,10.702.664.043.104,3.326.414.994.942,,4517383391589.0,9511695646457.0,10702664043104.0,3326414994942.0
