row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
B -,B -,B -,TÀI SẢN DÀI HẠN,200,,9.579.318.193.807,10.667.320.407.150,,200.0,,9579318193807.0,10667320407150.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,16.702.419.611,75.330.000.000,,210.0,,16702419611.0,75330000000.0
1.,1.,1.,Phải thu dài hạn của khách hàng,211,,-,-,,211.0,,,
2.,2.,2.,Trả trước cho người bán dài hạn,212,,-,-,,212.0,,,
3.,3.,3.,Vốn kinh doanh ở đơn vị trực thuộc,213,,-,-,,213.0,,,
4.,4.,4.,Phải thu nội bộ dài hạn,214,,-,-,,214.0,,,
5.,5.,5.,Phải thu về cho vay dài hạn,215,V.3,-,75.230.000.000,,215.0,,,75230000000.0
6.,6.,6.,Phải thu dài hạn khác,216,V.5,16.702.419.611,100.000.000,,216.0,,16702419611.0,100000000.0
7.,7.,7.,Dự phòng phải thu dài hạn khó đòi,219,,-,-,,219.0,,,
II.,II.,II.,Tài sản cố định,220,,7.843.019.239.217,8.940.513.782.045,,220.0,,7843019239217.0,8940513782045.0
1.,1.,1.,Tài sản cố định hữu hình,221,V.11,7.791.428.407.802,8.887.575.638.435,,221.0,,7791428407802.0,8887575638435.0
1.,1.,1.,Nguyên giá,222,,32.990.413.700.422,32.832.942.486.797,,222.0,,32990413700422.0,32832942486797.0
1.,1.,1.,Giá trị hao mòn lũy kế,223,,(25.198.985.292.620),(23.945.366.848.362),,223.0,,-25198985292620.0,-23945366848362.0
2.,2.,2.,Tài sản cố định vô hình,227,V.9,51.590.831.415,52.938.143.610,,227.0,,51590831415.0,52938143610.0
2.,2.,2.,Nguyên giá,228,,70.311.101.323,70.018.181.323,,228.0,,70311101323.0,70018181323.0
2.,2.,2.,Giá trị hao mòn lũy kế,229,,(18.720.269.908),(17.080.037.713),,229.0,,-18720269908.0,-17080037713.0
III.,III.,III.,Bất động sản đầu tư,230,,-,-,,230.0,,,
1.,1.,1.,Nguyên giá,231,,-,-,,231.0,,,
2.,2.,2.,Giá trị hao mòn lũy kế,232,,-,-,,232.0,,,
IV.,IV.,IV.,Tài sản dở dang dài hạn,240,V.10,171.381.656.679,111.105.064.886,,240.0,,171381656679.0,111105064886.0
1.,1.,1.,"Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,1.996.312.053,1.940.722.053,,241.0,,1996312053.0,1940722053.0
2.,2.,2.,Chi phí xây dựng cơ bản dở dang,242,,169.385.344.626,109.164.342.833,,242.0,,169385344626.0,109164342833.0
V.,V.,V.,Đầu tư tài chính dài hạn,250,V.2.2,1.344.723.357.046,1.351.066.437.751,,250.0,,1344723357046.0,1351066437751.0
1.,1.,1.,Đầu tư vào công ty con,251,,126.127.703.592,126.127.703.592,,251.0,,126127703592.0,126127703592.0
2.,2.,2.,"Đầu tư vào công ty liên doanh, liên kết",252,,-,-,,252.0,,,
3.,3.,3.,Đầu tư góp vốn vào đơn vị khác,253,,1.224.938.734.159,1.224.938.734.159,,253.0,,1224938734159.0,1224938734159.0
4.,4.,4.,Dự phòng đầu tư tài chính dài hạn,254,,(6.343.080.705),-,,254.0,,-6343080705.0,
5.,5.,5.,Đầu tư nắm giữ đến ngày đáo hạn,255,,-,-,,255.0,,,
VI.,VI.,VI.,Tài sản dài hạn khác,260,,203.491.521.254,189.305.122.468,,260.0,,203491521254.0,189305122468.0
1.,1.,1.,Chi phí trả trước dài hạn,261,V.12,86.348.214.603,60.518.157.981,,261.0,,86348214603.0,60518157981.0
2.,2.,2.,Tài sản thuế thu nhập hoãn lại,262,,-,-,,262.0,,,
3.,3.,3.,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,117.143.306.651,128.786.964.487,,263.0,,117143306651.0,128786964487.0
4.,4.,4.,Tài sản dài hạn khác,268,,-,-,,268.0,,,
,,,TỔNG CỘNG TÀI SẢN,270,,15.157.147.296.283,16.214.178.764.281,,270.0,,15157147296283.0,16214178764281.0
