row_label_raw,row_label_full,Bên liên quan,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
Công ty Kho vận và Cảng Cẩm Phả - Vinacomin,Công ty Kho vận và Cảng Cẩm Phả - Vinacomin,Công ty Kho vận và Cảng Cẩm Phả - Vinacomin,1.734.463.368.823,2.079.477.928.059,1734463368823.0,2079477928059.0
"Công ty CP Tin học, Công nghệ, Môi trường - Vinacomin","Công ty CP Tin học, Công nghệ, Môi trường - Vinacomin","Công ty CP Tin học, Công nghệ, Môi trường - Vinacomin",519.107.406,1.443.771.945,519107406.0,1443771945.0
Công ty CP Vật tư - TKV,Công ty CP Vật tư - TKV,Công ty CP Vật tư - TKV,11.367.181.283,333.687.770,11367181283.0,333687770.0
Công ty CP công nghiệp ô tô - Vinacomin,Công ty CP công nghiệp ô tô - Vinacomin,Công ty CP công nghiệp ô tô - Vinacomin,-,336.926.630,,336926630.0
Viện cơ khí năng lượng và mô - Vinacomin,Viện cơ khí năng lượng và mô - Vinacomin,Viện cơ khí năng lượng và mô - Vinacomin,597.624.503,943.979.239,597624503.0,943979239.0
Trường Quản trị kinh doanh Vinacomin,Trường Quản trị kinh doanh Vinacomin,Trường Quản trị kinh doanh Vinacomin,-,9.610.000,,9610000.0
Công ty CP Xuất nhập khẩu than - Vinacomin,Công ty CP Xuất nhập khẩu than - Vinacomin,Công ty CP Xuất nhập khẩu than - Vinacomin,1.197.416.921,5.416.271.746,1197416921.0,5416271746.0
Công ty TNHH MTV Môi trường - TKV,Công ty TNHH MTV Môi trường - TKV,Công ty TNHH MTV Môi trường - TKV,163.814.400,47.056.313,163814400.0,47056313.0
Tổng công ty Công nghiệp Mỏ Việt Bắc TKV - CTCP,Tổng công ty Công nghiệp Mỏ Việt Bắc TKV - CTCP,Tổng công ty Công nghiệp Mỏ Việt Bắc TKV - CTCP,4.852.705.509,2.795.271.552,4852705509.0,2795271552.0
Bệnh viện Than - Khoáng sản Việt Nam,Bệnh viện Than - Khoáng sản Việt Nam,Bệnh viện Than - Khoáng sản Việt Nam,262.441.504,349.686.531,262441504.0,349686531.0
Công ty CP Giám định Vinacomin,Công ty CP Giám định Vinacomin,Công ty CP Giám định Vinacomin,188.568.000,201.573.000,188568000.0,201573000.0
Viện Khoa học Công nghệ Mỏ - Vinacomin,Viện Khoa học Công nghệ Mỏ - Vinacomin,Viện Khoa học Công nghệ Mỏ - Vinacomin,894.876.040,38.290.909,894876040.0,38290909.0
Trường cao đẳng than - Khoáng sản Việt Nam,Trường cao đẳng than - Khoáng sản Việt Nam,Trường cao đẳng than - Khoáng sản Việt Nam,151.710.000,-,151710000.0,
Tổng Công ty Công nghiệp Hóa chất mô - Vinacomin,Tổng Công ty Công nghiệp Hóa chất mô - Vinacomin,Tổng Công ty Công nghiệp Hóa chất mô - Vinacomin,136.497.960,7.880.224,136497960.0,7880224.0
Công ty CP Tư vấn đầu tư mô và công nghiệp - Vinacomin,Công ty CP Tư vấn đầu tư mô và công nghiệp - Vinacomin,Công ty CP Tư vấn đầu tư mô và công nghiệp - Vinacomin,371.129.722,216.245.136,371129722.0,216245136.0
Công ty CP Du lịch và Thương mại - Vinacomin,Công ty CP Du lịch và Thương mại - Vinacomin,Công ty CP Du lịch và Thương mại - Vinacomin,3.578.864.585,2.843.253.373,3578864585.0,2843253373.0
Cộng,Cộng,Cộng,1.758.745.306.656,2.094.461.432.427,1758745306656.0,2094461432427.0
